strategy,entry_time,exit_time,direction,entry_price,exit_price,result,pnl_usd,capital
BB v1 (Original),2024-05-06 08:00:00+00:00,2024-05-06 10:00:00+00:00,long,65137.7,64092.96,SL,-1.0,99.0
BB v1 (Original),2024-05-07 08:00:00+00:00,2024-05-07 11:00:00+00:00,long,64266.51,63506.2,SL,-0.99,98.01
BB v1 (Original),2024-05-07 23:00:00+00:00,2024-05-08 02:00:00+00:00,short,62332.64,62799.08,SL,-0.9801,97.0299
BB v1 (Original),2024-05-08 20:00:00+00:00,2024-05-09 10:00:00+00:00,short,61593.57,60860.14,TP,1.9406,98.9705
BB v1 (Original),2024-05-09 15:00:00+00:00,2024-05-09 22:00:00+00:00,long,62121.36,63295.3,TP,1.9794,100.9499
BB v1 (Original),2024-05-10 14:00:00+00:00,2024-05-10 17:00:00+00:00,short,61223.12,60385.11,TP,2.019,102.9689
BB v1 (Original),2024-05-11 15:00:00+00:00,2024-05-11 23:00:00+00:00,long,61146.27,60793.5,SL,-1.0297,101.9392
BB v1 (Original),2024-05-12 15:00:00+00:00,2024-05-13 02:00:00+00:00,long,61361.03,61035.98,SL,-1.0194,100.9198
BB v1 (Original),2024-05-13 05:00:00+00:00,2024-05-13 06:00:00+00:00,short,60837.81,61434.03,SL,-1.0092,99.9106
BB v1 (Original),2024-05-13 07:00:00+00:00,2024-05-13 09:00:00+00:00,long,62352.72,63038.7,TP,1.9982,101.9088
BB v1 (Original),2024-05-14 06:00:00+00:00,2024-05-14 17:00:00+00:00,short,61979.42,61258.08,TP,2.0382,103.947
BB v1 (Original),2024-05-15 07:00:00+00:00,2024-05-15 12:00:00+00:00,long,62177.56,63715.95,TP,2.0789,106.026
BB v1 (Original),2024-05-15 18:00:00+00:00,2024-05-16 16:00:00+00:00,long,65786.95,65144.3,SL,-1.0603,104.9657
BB v1 (Original),2024-05-17 07:00:00+00:00,2024-05-17 13:00:00+00:00,long,66407.66,65955.88,SL,-1.0497,103.916
BB v1 (Original),2024-05-17 15:00:00+00:00,2024-05-17 17:00:00+00:00,long,67205.8,66795.37,SL,-1.0392,102.8769
BB v1 (Original),2024-05-18 10:00:00+00:00,2024-05-18 14:00:00+00:00,long,67235.68,66839.85,SL,-1.0288,101.8481
BB v1 (Original),2024-05-19 07:00:00+00:00,2024-05-19 12:00:00+00:00,long,67333.93,66884.02,SL,-1.0185,100.8296
BB v1 (Original),2024-05-19 16:00:00+00:00,2024-05-20 04:00:00+00:00,short,66666.98,67109.92,SL,-1.0083,99.8213
BB v1 (Original),2024-05-20 16:00:00+00:00,2024-05-20 19:00:00+00:00,long,68199.6,69881.77,TP,1.9964,101.8178
BB v1 (Original),2024-05-20 23:00:00+00:00,2024-05-21 04:00:00+00:00,long,71443.06,70880.42,SL,-1.0182,100.7996
BB v1 (Original),2024-05-21 19:00:00+00:00,2024-05-21 20:00:00+00:00,short,69363.85,69718.72,SL,-1.008,99.7916
BB v1 (Original),2024-05-22 15:00:00+00:00,2024-05-22 17:00:00+00:00,long,70434.55,69812.77,SL,-0.9979,98.7937
BB v1 (Original),2024-05-22 22:00:00+00:00,2024-05-23 00:00:00+00:00,short,69101.2,69473.98,SL,-0.9879,97.8057
BB v1 (Original),2024-05-23 13:00:00+00:00,2024-05-23 18:00:00+00:00,short,68118.65,67341.94,TP,1.9561,99.7618
BB v1 (Original),2024-05-24 17:00:00+00:00,2024-05-26 21:00:00+00:00,long,68853.41,68441.02,SL,-0.9976,98.7642
BB v1 (Original),2024-05-27 14:00:00+00:00,2024-05-27 15:00:00+00:00,long,69406.62,70287.74,TP,1.9753,100.7395
BB v1 (Original),2024-05-30 13:00:00+00:00,2024-05-30 17:00:00+00:00,long,68622.45,69430.02,TP,2.0148,102.7543
BB v1 (Original),2024-05-31 14:00:00+00:00,2024-06-02 00:00:00+00:00,short,67427.51,67808.48,SL,-1.0275,101.7268
BB v1 (Original),2024-06-02 09:00:00+00:00,2024-06-02 11:00:00+00:00,short,67455.86,68166.55,SL,-1.0173,100.7095
BB v1 (Original),2024-06-02 13:00:00+00:00,2024-06-02 18:00:00+00:00,long,68118.27,67653.88,SL,-1.0071,99.7024
BB v1 (Original),2024-06-03 01:00:00+00:00,2024-06-03 08:00:00+00:00,long,68396.8,69149.45,TP,1.994,101.6964
BB v1 (Original),2024-06-03 12:00:00+00:00,2024-06-03 14:00:00+00:00,long,69671.74,68688.65,SL,-1.017,100.6795
BB v1 (Original),2024-06-04 13:00:00+00:00,2024-06-04 15:00:00+00:00,long,69649.94,70428.23,TP,2.0136,102.6931
BB v1 (Original),2024-06-05 15:00:00+00:00,2024-06-05 18:00:00+00:00,long,71622.2,71122.86,SL,-1.0269,101.6661
BB v1 (Original),2024-06-06 14:00:00+00:00,2024-06-06 16:00:00+00:00,long,71452.55,70970.39,SL,-1.0167,100.6495
BB v1 (Original),2024-06-06 19:00:00+00:00,2024-06-06 22:00:00+00:00,short,70462.38,70864.22,SL,-1.0065,99.643
BB v1 (Original),2024-06-07 11:00:00+00:00,2024-06-07 12:00:00+00:00,long,71627.8,71152.89,SL,-0.9964,98.6466
BB v1 (Original),2024-06-07 17:00:00+00:00,2024-06-07 18:00:00+00:00,short,69805.09,69095.98,TP,1.9729,100.6195
BB v1 (Original),2024-06-09 02:00:00+00:00,2024-06-09 12:00:00+00:00,short,69188.88,69699.33,SL,-1.0062,99.6133
BB v1 (Original),2024-06-10 07:00:00+00:00,2024-06-10 15:00:00+00:00,short,69295.66,70054.54,SL,-0.9961,98.6172
BB v1 (Original),2024-06-11 01:00:00+00:00,2024-06-11 06:00:00+00:00,short,68481.59,67619.15,TP,1.9723,100.5895
BB v1 (Original),2024-06-12 12:00:00+00:00,2024-06-12 18:00:00+00:00,long,69384.74,68794.2,SL,-1.0059,99.5836
BB v1 (Original),2024-06-13 15:00:00+00:00,2024-06-13 16:00:00+00:00,short,66391.08,66965.8,SL,-0.9958,98.5878
BB v1 (Original),2024-06-14 15:00:00+00:00,2024-06-14 16:00:00+00:00,short,66339.58,65236.24,TP,1.9718,100.5595
BB v1 (Original),2024-06-15 20:00:00+00:00,2024-06-16 10:00:00+00:00,short,66015.85,66640.92,SL,-1.0056,99.5539
BB v1 (Original),2024-06-16 12:00:00+00:00,2024-06-17 06:00:00+00:00,long,66541.28,66086.15,SL,-0.9955,98.5584
BB v1 (Original),2024-06-17 09:00:00+00:00,2024-06-17 17:00:00+00:00,short,65692.16,66475.63,SL,-0.9856,97.5728
BB v1 (Original),2024-06-20 05:00:00+00:00,2024-06-20 13:00:00+00:00,long,65557.61,65174.92,SL,-0.9757,96.5971
BB v1 (Original),2024-06-21 07:00:00+00:00,2024-06-23 23:00:00+00:00,short,64187.97,63180.8,TP,1.9319,98.529
BB v1 (Original),2024-06-24 02:00:00+00:00,2024-06-24 09:00:00+00:00,short,62876.86,61354.39,TP,1.9706,100.4996
BB v1 (Original),2024-06-24 16:00:00+00:00,2024-06-24 19:00:00+00:00,short,60090.59,59198.54,TP,2.01,102.5096
BB v1 (Original),2024-06-25 18:00:00+00:00,2024-06-25 23:00:00+00:00,long,62157.37,61804.64,SL,-1.0251,101.4845
BB v1 (Original),2024-06-26 18:00:00+00:00,2024-06-27 09:00:00+00:00,short,60922.95,61249.08,SL,-1.0148,100.4697
BB v1 (Original),2024-06-27 13:00:00+00:00,2024-06-27 19:00:00+00:00,long,61844.53,61440.52,SL,-1.0047,99.465
BB v1 (Original),2024-06-28 14:00:00+00:00,2024-06-28 19:00:00+00:00,short,60843.73,60111.64,TP,1.9893,101.4543
BB v1 (Original),2024-06-30 02:00:00+00:00,2024-06-30 07:00:00+00:00,short,60723.46,61401.01,SL,-1.0145,100.4397
BB v1 (Original),2024-06-30 22:00:00+00:00,2024-07-01 01:00:00+00:00,long,62799.94,63531.33,TP,2.0088,102.4485
BB v1 (Original),2024-07-02 14:00:00+00:00,2024-07-03 02:00:00+00:00,short,61978.49,61250.32,TP,2.049,104.4975
BB v1 (Original),2024-07-04 01:00:00+00:00,2024-07-04 02:00:00+00:00,short,58633.15,58971.18,SL,-1.045,103.4525
BB v1 (Original),2024-07-04 07:00:00+00:00,2024-07-04 12:00:00+00:00,short,58163.99,57171.3,TP,2.069,105.5216
BB v1 (Original),2024-07-05 02:00:00+00:00,2024-07-05 03:00:00+00:00,short,55994.52,55213.27,TP,2.1104,107.632
BB v1 (Original),2024-07-06 13:00:00+00:00,2024-07-06 16:00:00+00:00,long,56966.72,57833.93,TP,2.1526,109.7846
BB v1 (Original),2024-07-07 13:00:00+00:00,2024-07-07 17:00:00+00:00,short,56855.37,57207.57,SL,-1.0978,108.6868
BB v1 (Original),2024-07-07 22:00:00+00:00,2024-07-08 00:00:00+00:00,short,56420.74,55236.27,TP,2.1737,110.8605
BB v1 (Original),2024-07-10 04:00:00+00:00,2024-07-10 05:00:00+00:00,long,59288.97,58984.78,SL,-1.1086,109.7519
BB v1 (Original),2024-07-11 11:00:00+00:00,2024-07-11 14:00:00+00:00,long,58782.02,57889.17,SL,-1.0975,108.6544
BB v1 (Original),2024-07-12 13:00:00+00:00,2024-07-12 20:00:00+00:00,long,57936.34,57589.28,SL,-1.0865,107.5678
BB v1 (Original),2024-07-13 09:00:00+00:00,2024-07-13 22:00:00+00:00,long,58639.6,59444.52,TP,2.1514,109.7192
BB v1 (Original),2024-07-14 00:00:00+00:00,2024-07-14 02:00:00+00:00,long,59769.14,59367.33,SL,-1.0972,108.622
BB v1 (Original),2024-07-14 05:00:00+00:00,2024-07-14 06:00:00+00:00,long,60268.51,59876.72,SL,-1.0862,107.5358
BB v1 (Original),2024-07-14 21:00:00+00:00,2024-07-14 22:00:00+00:00,long,61246.04,60895.91,SL,-1.0754,106.4604
BB v1 (Original),2024-07-15 00:00:00+00:00,2024-07-15 02:00:00+00:00,long,61238.36,62625.86,TP,2.1292,108.5896
BB v1 (Original),2024-07-15 22:00:00+00:00,2024-07-16 05:00:00+00:00,long,64381.21,63595.77,SL,-1.0859,107.5037
BB v1 (Original),2024-07-17 16:00:00+00:00,2024-07-17 19:00:00+00:00,short,64252.58,64623.67,SL,-1.075,106.4287
BB v1 (Original),2024-07-18 14:00:00+00:00,2024-07-19 03:00:00+00:00,short,63964.61,64294.06,SL,-1.0643,105.3644
BB v1 (Original),2024-07-19 13:00:00+00:00,2024-07-19 16:00:00+00:00,long,65269.28,66437.31,TP,2.1073,107.4717
BB v1 (Original),2024-07-19 19:00:00+00:00,2024-07-19 21:00:00+00:00,long,67310.11,66945.55,SL,-1.0747,106.397
BB v1 (Original),2024-07-20 17:00:00+00:00,2024-07-21 00:00:00+00:00,long,67435.34,67096.35,SL,-1.064,105.333
BB v1 (Original),2024-07-21 16:00:00+00:00,2024-07-21 17:00:00+00:00,long,67538.43,66750.09,SL,-1.0533,104.2797
BB v1 (Original),2024-07-21 20:00:00+00:00,2024-07-22 07:00:00+00:00,long,67753.34,67275.57,SL,-1.0428,103.2369
BB v1 (Original),2024-07-22 14:00:00+00:00,2024-07-22 15:00:00+00:00,short,66682.62,67095.54,SL,-1.0324,102.2045
BB v1 (Original),2024-07-23 05:00:00+00:00,2024-07-23 08:00:00+00:00,short,66436.09,66868.29,SL,-1.022,101.1825
BB v1 (Original),2024-07-24 14:00:00+00:00,2024-07-24 15:00:00+00:00,long,66902.93,66240.25,SL,-1.0118,100.1707
BB v1 (Original),2024-07-24 22:00:00+00:00,2024-07-25 01:00:00+00:00,short,65304.25,64437.71,TP,2.0034,102.1741
BB v1 (Original),2024-07-25 21:00:00+00:00,2024-07-26 02:00:00+00:00,long,65811.2,67015.44,TP,2.0435,104.2176
BB v1 (Original),2024-07-27 13:00:00+00:00,2024-07-27 15:00:00+00:00,long,69264.29,68845.4,SL,-1.0422,103.1754
BB v1 (Original),2024-07-29 00:00:00+00:00,2024-07-29 02:00:00+00:00,long,68694.24,69558.81,TP,2.0635,105.2389
BB v1 (Original),2024-07-29 05:00:00+00:00,2024-07-29 13:00:00+00:00,long,69712.95,69247.12,SL,-1.0524,104.1865
BB v1 (Original),2024-07-29 16:00:00+00:00,2024-07-29 18:00:00+00:00,short,66937.04,67388.3,SL,-1.0419,103.1446
BB v1 (Original),2024-07-30 14:00:00+00:00,2024-07-30 15:00:00+00:00,short,65845.6,66244.62,SL,-1.0314,102.1132
BB v1 (Original),2024-07-30 17:00:00+00:00,2024-07-30 21:00:00+00:00,short,65834.38,66293.14,SL,-1.0211,101.0921
BB v1 (Original),2024-07-31 19:00:00+00:00,2024-08-01 01:00:00+00:00,short,65178.97,64153.02,TP,2.0218,103.1139
BB v1 (Original),2024-08-01 15:00:00+00:00,2024-08-01 19:00:00+00:00,short,63003.41,63345.39,SL,-1.0311,102.0828
BB v1 (Original),2024-08-02 14:00:00+00:00,2024-08-02 15:00:00+00:00,short,63206.57,63560.2,SL,-1.0208,101.0619
BB v1 (Original),2024-08-02 16:00:00+00:00,2024-08-02 19:00:00+00:00,short,63275.61,62631.49,TP,2.0212,103.0832
BB v1 (Original),2024-08-02 21:00:00+00:00,2024-08-02 22:00:00+00:00,short,62033.06,61195.23,TP,2.0617,105.1448
BB v1 (Original),2024-08-03 17:00:00+00:00,2024-08-04 02:00:00+00:00,short,60479.65,60828.34,SL,-1.0514,104.0934
BB v1 (Original),2024-08-04 14:00:00+00:00,2024-08-04 15:00:00+00:00,short,59640.1,58968.98,TP,2.0819,106.1752
BB v1 (Original),2024-08-05 00:00:00+00:00,2024-08-05 01:00:00+00:00,short,56036.67,54691.21,TP,2.1235,108.2988
BB v1 (Original),2024-08-05 06:00:00+00:00,2024-08-05 07:00:00+00:00,short,51460.37,52740.91,SL,-1.083,107.2158
