strategy,entry_time,exit_time,direction,entry_price,exit_price,sl_price,tp_price,result,pnl_usd,capital
1. EMA Cross + RSI,2024-05-06 18:00:00+00:00,2024-05-07 01:00:00+00:00,short,63423.66,63877.76,63740.78,62789.43,SL,-1.0,99.0
1. EMA Cross + RSI,2024-05-10 01:00:00+00:00,2024-05-10 14:00:00+00:00,long,62873.38,61223.12,62559.02,63502.12,SL,-0.99,98.01
1. EMA Cross + RSI,2024-05-10 16:00:00+00:00,2024-05-10 17:00:00+00:00,short,61110.29,60385.11,61415.84,60499.19,TP,1.9602,99.9702
1. EMA Cross + RSI,2024-05-13 00:00:00+00:00,2024-05-13 02:00:00+00:00,long,61497.11,61035.98,61189.63,62112.08,SL,-0.9997,98.9705
1. EMA Cross + RSI,2024-05-13 07:00:00+00:00,2024-05-13 09:00:00+00:00,long,62352.72,63038.7,62040.96,62976.25,TP,1.9794,100.9499
1. EMA Cross + RSI,2024-05-14 16:00:00+00:00,2024-05-14 22:00:00+00:00,short,61372.29,61699.33,61679.15,60758.56,SL,-1.0095,99.9404
1. EMA Cross + RSI,2024-05-15 09:00:00+00:00,2024-05-15 11:00:00+00:00,long,62737.73,62423.21,62424.04,63365.11,SL,-0.9994,98.941
1. EMA Cross + RSI,2024-05-19 23:00:00+00:00,2024-05-20 02:00:00+00:00,short,66278.74,66677.1,66610.14,65615.95,SL,-0.9894,97.9516
1. EMA Cross + RSI,2024-05-20 04:00:00+00:00,2024-05-20 06:00:00+00:00,long,67109.92,66374.0,66774.37,67781.02,SL,-0.9795,96.9721
1. EMA Cross + RSI,2024-05-23 13:00:00+00:00,2024-05-23 18:00:00+00:00,short,68118.65,67341.94,68459.24,67437.46,TP,1.9394,98.9115
1. EMA Cross + RSI,2024-05-25 04:00:00+00:00,2024-05-27 06:00:00+00:00,long,68763.18,68369.19,68419.36,69450.81,SL,-0.9891,97.9224
1. EMA Cross + RSI,2024-05-27 15:00:00+00:00,2024-05-27 18:00:00+00:00,long,70287.74,69878.26,69936.3,70990.62,SL,-0.9792,96.9432
1. EMA Cross + RSI,2024-05-28 04:00:00+00:00,2024-05-28 09:00:00+00:00,short,67755.59,68308.81,68094.36,67078.03,SL,-0.9694,95.9737
1. EMA Cross + RSI,2024-05-30 17:00:00+00:00,2024-05-30 19:00:00+00:00,long,69430.02,68504.7,69082.87,70124.32,SL,-0.9597,95.014
1. EMA Cross + RSI,2024-05-31 15:00:00+00:00,2024-05-31 19:00:00+00:00,short,67202.55,67738.09,67538.57,66530.53,SL,-0.9501,94.0639
1. EMA Cross + RSI,2024-06-02 14:00:00+00:00,2024-06-02 18:00:00+00:00,long,68170.41,67653.88,67829.56,68852.12,SL,-0.9406,93.1232
1. EMA Cross + RSI,2024-06-07 18:00:00+00:00,2024-06-07 22:00:00+00:00,short,69095.98,69455.4,69441.46,68405.02,SL,-0.9312,92.192
1. EMA Cross + RSI,2024-06-10 17:00:00+00:00,2024-06-10 19:00:00+00:00,long,69988.27,69400.39,69638.33,70688.16,SL,-0.9219,91.2701
1. EMA Cross + RSI,2024-06-12 15:00:00+00:00,2024-06-12 18:00:00+00:00,long,69726.59,68794.2,69377.95,70423.85,SL,-0.9127,90.3574
1. EMA Cross + RSI,2024-06-13 03:00:00+00:00,2024-06-13 10:00:00+00:00,short,67414.73,67817.92,67751.81,66740.59,SL,-0.9036,89.4538
1. EMA Cross + RSI,2024-06-16 19:00:00+00:00,2024-06-17 06:00:00+00:00,long,66505.48,66086.15,66172.95,67170.53,SL,-0.8945,88.5593
1. EMA Cross + RSI,2024-06-20 10:00:00+00:00,2024-06-20 13:00:00+00:00,long,66095.52,65174.92,65765.05,66756.48,SL,-0.8856,87.6737
1. EMA Cross + RSI,2024-06-20 16:00:00+00:00,2024-06-21 08:00:00+00:00,short,64793.11,63642.78,65117.08,64145.18,TP,1.7535,89.4271
1. EMA Cross + RSI,2024-06-27 22:00:00+00:00,2024-06-28 13:00:00+00:00,long,61567.88,61227.58,61260.04,62183.56,SL,-0.8943,88.5329
1. EMA Cross + RSI,2024-06-28 14:00:00+00:00,2024-06-28 19:00:00+00:00,short,60843.73,60111.64,61147.95,60235.29,TP,1.7707,90.3035
1. EMA Cross + RSI,2024-06-30 09:00:00+00:00,2024-06-30 22:00:00+00:00,long,61399.54,62799.94,61092.54,62013.53,TP,1.8061,92.1096
1. EMA Cross + RSI,2024-07-02 19:00:00+00:00,2024-07-03 02:00:00+00:00,short,61887.85,61250.32,62197.29,61268.97,TP,1.8422,93.9518
1. EMA Cross + RSI,2024-07-06 20:00:00+00:00,2024-07-07 04:00:00+00:00,long,58002.88,57616.2,57712.87,58582.91,SL,-0.9395,93.0123
1. EMA Cross + RSI,2024-07-07 18:00:00+00:00,2024-07-07 21:00:00+00:00,short,57164.7,56584.57,57450.52,56593.05,TP,1.8602,94.8725
1. EMA Cross + RSI,2024-07-09 05:00:00+00:00,2024-07-09 18:00:00+00:00,long,57291.92,57899.97,57005.46,57864.84,TP,1.8975,96.77
1. EMA Cross + RSI,2024-07-11 22:00:00+00:00,2024-07-12 13:00:00+00:00,short,57309.55,57936.34,57596.09,56736.45,SL,-0.9677,95.8023
1. EMA Cross + RSI,2024-07-12 18:00:00+00:00,2024-07-12 19:00:00+00:00,long,58324.43,57729.25,58032.81,58907.67,SL,-0.958,94.8443
1. EMA Cross + RSI,2024-07-18 18:00:00+00:00,2024-07-18 22:00:00+00:00,short,63537.51,64015.61,63855.2,62902.13,SL,-0.9484,93.8958
1. EMA Cross + RSI,2024-07-19 14:00:00+00:00,2024-07-19 16:00:00+00:00,long,65748.29,66437.31,65419.55,66405.77,TP,1.8779,95.7737
1. EMA Cross + RSI,2024-07-23 08:00:00+00:00,2024-07-23 13:00:00+00:00,short,66868.29,66094.73,67202.63,66199.61,TP,1.9155,97.6892
1. EMA Cross + RSI,2024-07-26 03:00:00+00:00,2024-07-26 13:00:00+00:00,long,67049.49,67900.87,66714.24,67719.99,TP,1.9538,99.643
1. EMA Cross + RSI,2024-07-29 21:00:00+00:00,2024-07-30 00:00:00+00:00,short,67491.07,66543.69,67828.53,66816.16,TP,1.9929,101.6358
1. EMA Cross + RSI,2024-08-07 03:00:00+00:00,2024-08-07 14:00:00+00:00,long,56914.41,56204.99,56629.83,57483.55,SL,-1.0164,100.6195
1. EMA Cross + RSI,2024-08-07 19:00:00+00:00,2024-08-07 21:00:00+00:00,short,54799.23,55425.8,55073.23,54251.24,SL,-1.0062,99.6133
1. EMA Cross + RSI,2024-08-08 05:00:00+00:00,2024-08-08 12:00:00+00:00,long,56989.27,57960.12,56704.32,57559.16,TP,1.9923,101.6056
1. EMA Cross + RSI,2024-08-11 20:00:00+00:00,2024-08-11 21:00:00+00:00,short,58559.12,58986.04,58851.92,57973.53,SL,-1.0161,100.5895
1. EMA Cross + RSI,2024-08-13 17:00:00+00:00,2024-08-13 18:00:00+00:00,long,61226.21,60842.02,60920.08,61838.47,SL,-1.0059,99.5836
1. EMA Cross + RSI,2024-08-14 19:00:00+00:00,2024-08-15 01:00:00+00:00,short,58998.5,58241.28,59293.5,58408.52,TP,1.9917,101.5753
1. EMA Cross + RSI,2024-08-16 23:00:00+00:00,2024-08-17 14:00:00+00:00,long,58893.53,59511.68,58599.06,59482.47,TP,2.0315,103.6068
1. EMA Cross + RSI,2024-08-19 01:00:00+00:00,2024-08-19 17:00:00+00:00,short,58548.34,59008.87,58841.08,57962.85,SL,-1.0361,102.5707
1. EMA Cross + RSI,2024-08-20 00:00:00+00:00,2024-08-20 05:00:00+00:00,long,60385.18,61113.87,60083.25,60989.03,TP,2.0514,104.6221
1. EMA Cross + RSI,2024-08-21 01:00:00+00:00,2024-08-21 06:00:00+00:00,short,59204.98,59617.84,59501.0,58612.93,SL,-1.0462,103.5759
1. EMA Cross + RSI,2024-08-21 17:00:00+00:00,2024-08-21 18:00:00+00:00,long,59941.18,60763.26,59641.47,60540.59,TP,2.0715,105.6474
1. EMA Cross + RSI,2024-08-26 19:00:00+00:00,2024-08-27 10:00:00+00:00,short,63309.48,62325.89,63626.03,62676.39,TP,2.1129,107.7604
1. EMA Cross + RSI,2024-09-02 21:00:00+00:00,2024-09-03 13:00:00+00:00,long,59085.79,58392.35,58790.36,59676.64,SL,-1.0776,106.6828
1. EMA Cross + RSI,2024-09-03 16:00:00+00:00,2024-09-03 19:00:00+00:00,short,57710.1,58018.11,57998.65,57133.0,SL,-1.0668,105.6159
1. EMA Cross + RSI,2024-09-09 04:00:00+00:00,2024-09-09 13:00:00+00:00,long,54864.63,55747.11,54590.31,55413.28,TP,2.1123,107.7283
1. EMA Cross + RSI,2024-09-16 01:00:00+00:00,2024-09-16 14:00:00+00:00,short,58666.46,57609.59,58959.79,58079.8,TP,2.1546,109.8828
1. EMA Cross + RSI,2024-09-17 15:00:00+00:00,2024-09-17 18:00:00+00:00,long,61137.27,60565.41,60831.59,61748.65,SL,-1.0988,108.784
1. EMA Cross + RSI,2024-09-22 15:00:00+00:00,2024-09-22 17:00:00+00:00,short,62702.02,63101.66,63015.53,62075.0,SL,-1.0878,107.6962
1. EMA Cross + RSI,2024-09-25 20:00:00+00:00,2024-09-26 07:00:00+00:00,short,63486.0,63835.35,63803.43,62851.14,SL,-1.077,106.6192
1. EMA Cross + RSI,2024-09-26 10:00:00+00:00,2024-09-26 15:00:00+00:00,long,64344.88,65273.96,64023.15,64988.33,TP,2.1324,108.7516
1. EMA Cross + RSI,2024-09-30 02:00:00+00:00,2024-09-30 09:00:00+00:00,short,64403.32,63646.71,64725.34,63759.29,TP,2.175,110.9266
1. EMA Cross + RSI,2024-10-04 16:00:00+00:00,2024-10-05 02:00:00+00:00,long,62241.82,61821.96,61930.61,62864.24,SL,-1.1093,109.8173
1. EMA Cross + RSI,2024-10-08 08:00:00+00:00,2024-10-08 13:00:00+00:00,short,62379.8,62939.54,62691.7,61756.0,SL,-1.0982,108.7192
1. EMA Cross + RSI,2024-10-11 15:00:00+00:00,2024-10-12 13:00:00+00:00,long,62416.0,63065.25,62103.92,63040.16,TP,2.1744,110.8936
1. EMA Cross + RSI,2024-10-21 14:00:00+00:00,2024-10-21 17:00:00+00:00,short,67216.95,67553.94,67553.04,66544.78,SL,-1.1089,109.7846
1. EMA Cross + RSI,2024-10-24 13:00:00+00:00,2024-10-25 07:00:00+00:00,long,67845.26,67456.66,67506.03,68523.71,SL,-1.0978,108.6868
1. EMA Cross + RSI,2024-10-25 21:00:00+00:00,2024-10-27 13:00:00+00:00,short,67154.89,67541.54,67490.67,66483.34,SL,-1.0869,107.5999
1. EMA Cross + RSI,2024-10-27 14:00:00+00:00,2024-10-28 07:00:00+00:00,long,67610.59,68343.05,67272.53,68286.69,TP,2.152,109.7519
1. EMA Cross + RSI,2024-10-31 17:00:00+00:00,2024-10-31 20:00:00+00:00,short,70696.37,69897.85,71049.85,69989.4,TP,2.195,111.9469
1. EMA Cross + RSI,2024-11-05 14:00:00+00:00,2024-11-05 15:00:00+00:00,long,69984.84,69542.45,69634.92,70684.69,SL,-1.1195,110.8275
1. EMA Cross + RSI,2024-11-15 04:00:00+00:00,2024-11-15 06:00:00+00:00,short,87448.26,88181.28,87885.5,86573.78,SL,-1.1083,109.7192
1. EMA Cross + RSI,2024-11-15 12:00:00+00:00,2024-11-15 14:00:00+00:00,long,89775.36,89006.34,89326.48,90673.11,SL,-1.0972,108.622
1. EMA Cross + RSI,2024-11-17 21:00:00+00:00,2024-11-17 23:00:00+00:00,short,89254.99,89834.99,89701.27,88362.44,SL,-1.0862,107.5358
1. EMA Cross + RSI,2024-11-18 06:00:00+00:00,2024-11-18 11:00:00+00:00,long,91680.24,90261.92,91221.84,92597.04,SL,-1.0754,106.4604
1. EMA Cross + RSI,2024-11-24 12:00:00+00:00,2024-11-24 17:00:00+00:00,short,96905.92,95898.31,97390.45,95936.86,TP,2.1292,108.5896
1. EMA Cross + RSI,2024-11-25 09:00:00+00:00,2024-11-25 12:00:00+00:00,long,98575.95,97965.58,98083.07,99561.7,SL,-1.0859,107.5037
1. EMA Cross + RSI,2024-11-25 14:00:00+00:00,2024-11-25 19:00:00+00:00,short,95947.49,94745.85,96427.23,94988.02,TP,2.1501,109.6538
1. EMA Cross + RSI,2024-11-27 18:00:00+00:00,2024-11-28 03:00:00+00:00,long,96240.27,95614.3,95759.07,97202.68,SL,-1.0965,108.5573
1. EMA Cross + RSI,2024-12-02 08:00:00+00:00,2024-12-02 13:00:00+00:00,short,95142.21,95655.45,95617.92,94190.79,SL,-1.0856,107.4717
1. EMA Cross + RSI,2024-12-04 07:00:00+00:00,2024-12-04 12:00:00+00:00,long,96632.04,95990.47,96148.88,97598.36,SL,-1.0747,106.397
1. EMA Cross + RSI,2024-12-04 17:00:00+00:00,2024-12-04 18:00:00+00:00,short,95529.89,96276.48,96007.54,94574.59,SL,-1.064,105.333
1. EMA Cross + RSI,2024-12-06 09:00:00+00:00,2024-12-06 13:00:00+00:00,short,98115.73,98708.97,98606.31,97134.58,SL,-1.0533,104.2797
1. EMA Cross + RSI,2024-12-06 16:00:00+00:00,2024-12-06 17:00:00+00:00,long,99142.53,100859.0,98646.82,100133.96,TP,2.0856,106.3653
1. EMA Cross + RSI,2024-12-09 06:00:00+00:00,2024-12-09 11:00:00+00:00,short,99137.47,98021.96,99633.16,98146.09,TP,2.1273,108.4926
1. EMA Cross + RSI,2024-12-11 14:00:00+00:00,2024-12-11 16:00:00+00:00,long,99579.87,100658.11,99081.97,100575.67,TP,2.1699,110.6624
1. EMA Cross + RSI,2024-12-18 07:00:00+00:00,2024-12-18 11:00:00+00:00,short,104276.65,104956.85,104798.03,103233.88,SL,-1.1066,109.5558
1. EMA Cross + RSI,2024-12-24 16:00:00+00:00,2024-12-24 19:00:00+00:00,long,98536.81,97628.26,98044.13,99522.18,SL,-1.0956,108.4603
1. EMA Cross + RSI,2024-12-26 12:00:00+00:00,2024-12-26 16:00:00+00:00,short,95544.48,96503.67,96022.21,94589.04,SL,-1.0846,107.3757
1. EMA Cross + RSI,2024-12-31 14:00:00+00:00,2024-12-31 16:00:00+00:00,long,95560.61,94695.7,95082.81,96516.22,SL,-1.0738,106.3019
1. EMA Cross + RSI,2025-01-01 06:00:00+00:00,2025-01-01 15:00:00+00:00,short,93526.9,94211.06,93994.53,92591.63,SL,-1.063,105.2389
1. EMA Cross + RSI,2025-01-01 16:00:00+00:00,2025-01-02 00:00:00+00:00,long,93863.23,94888.75,93393.92,94801.87,TP,2.1048,107.3437
