entry_time,exit_time,direction,entry,exit,result,pnl,capital,risk_pct
2025-04-25 18:22:00+00:00,2025-04-25 18:46:00+00:00,long,94839.53,95228.28,TP,2.0,102.0,1.0
2025-04-25 19:03:00+00:00,2025-04-25 19:14:00+00:00,long,95230.13,95034.37,SL,-1.02,100.98,1.0
2025-04-25 19:27:00+00:00,2025-04-25 20:40:00+00:00,long,95055.51,94814.14,SL,-1.0098,99.9702,1.0
2025-04-25 21:15:00+00:00,2025-04-25 21:57:00+00:00,short,94942.25,94500.0,TP,1.9994,101.9696,1.0
2025-04-25 23:08:00+00:00,2025-04-25 23:16:00+00:00,long,94923.99,94722.56,SL,-1.0197,100.9499,1.0
2025-04-25 23:55:00+00:00,2025-04-26 00:47:00+00:00,short,94628.7,94890.0,SL,-1.0095,99.9404,1.0
2025-04-26 01:09:00+00:00,2025-04-26 02:17:00+00:00,long,94948.94,94699.11,SL,-0.9994,98.941,1.0
2025-04-26 03:13:00+00:00,2025-04-26 03:20:00+00:00,long,95004.77,94776.26,SL,-0.9894,97.9516,1.0
2025-04-26 04:13:00+00:00,2025-04-26 08:45:00+00:00,short,94723.45,94339.99,TP,1.959,99.9106,1.0
2025-04-26 09:27:00+00:00,2025-04-26 13:46:00+00:00,short,94260.87,93870.7,TP,1.9982,101.9088,1.0
2025-04-26 13:53:00+00:00,2025-04-26 13:59:00+00:00,short,93954.0,94149.2,SL,-1.0191,100.8898,1.0
2025-04-26 14:06:00+00:00,2025-04-26 14:41:00+00:00,short,94011.46,94246.85,SL,-1.0089,99.8809,1.0
2025-04-26 15:02:00+00:00,2025-04-26 16:43:00+00:00,long,94300.0,94041.01,SL,-0.9988,98.882,1.0
2025-04-26 16:47:00+00:00,2025-04-26 18:56:00+00:00,long,94342.84,94141.49,SL,-0.9888,97.8932,1.0
2025-04-26 19:08:00+00:00,2025-04-26 19:43:00+00:00,short,94104.44,94293.22,SL,-0.9789,96.9143,1.0
2025-04-26 19:59:00+00:00,2025-04-26 20:59:00+00:00,long,94307.5,94087.0,SL,-0.9691,95.9451,1.0
2025-04-26 21:19:00+00:00,2025-04-26 22:00:00+00:00,short,94179.89,94378.46,SL,-0.9595,94.9857,1.0
2025-04-26 22:38:00+00:00,2025-04-27 01:13:00+00:00,long,94728.21,95144.99,TP,1.8997,96.8854,1.0
2025-04-27 01:57:00+00:00,2025-04-27 05:25:00+00:00,short,94285.38,93769.86,TP,1.9377,98.8231,1.0
2025-04-27 05:54:00+00:00,2025-04-27 06:24:00+00:00,short,93911.6,94099.99,SL,-0.9882,97.8349,1.0
2025-04-27 06:26:00+00:00,2025-04-27 08:17:00+00:00,short,93977.46,94215.5,SL,-0.9783,96.8565,1.0
2025-04-27 08:27:00+00:00,2025-04-27 10:35:00+00:00,long,94201.41,93999.6,SL,-0.9686,95.888,1.0
2025-04-27 11:06:00+00:00,2025-04-27 13:07:00+00:00,short,94005.77,93627.91,TP,1.9178,97.8057,1.0
2025-04-27 13:24:00+00:00,2025-04-27 13:39:00+00:00,short,93782.6,93996.0,SL,-0.9781,96.8277,1.0
2025-04-27 13:58:00+00:00,2025-04-27 15:05:00+00:00,long,94065.09,93862.75,SL,-0.9683,95.8594,1.0
2025-04-27 15:28:00+00:00,2025-04-27 17:11:00+00:00,short,93826.09,94020.0,SL,-0.9586,94.9008,1.0
2025-04-27 17:50:00+00:00,2025-04-27 21:37:00+00:00,long,94085.99,94474.9,TP,1.898,96.7988,1.0
2025-04-27 22:20:00+00:00,2025-04-28 00:09:00+00:00,short,93869.38,93445.0,TP,1.936,98.7348,1.0
2025-04-28 00:43:00+00:00,2025-04-28 01:11:00+00:00,short,93608.7,93233.88,TP,1.9747,100.7095,1.0
2025-04-28 01:34:00+00:00,2025-04-28 02:02:00+00:00,short,92901.6,93103.52,SL,-1.0071,99.7024,1.0
2025-04-28 02:13:00+00:00,2025-04-28 02:18:00+00:00,short,93049.37,93258.98,SL,-0.997,98.7054,1.0
2025-04-28 03:15:00+00:00,2025-04-28 04:25:00+00:00,long,93692.56,94075.8,TP,1.9741,100.6795,1.0
2025-04-28 05:01:00+00:00,2025-04-28 06:42:00+00:00,long,94091.13,94507.28,TP,2.0136,102.6931,1.0
2025-04-28 06:57:00+00:00,2025-04-28 10:21:00+00:00,long,94651.75,94400.0,SL,-1.0269,101.6661,1.0
2025-04-28 11:05:00+00:00,2025-04-28 13:31:00+00:00,long,95245.5,94942.16,SL,-1.0167,100.6495,1.0
2025-04-28 13:45:00+00:00,2025-04-28 13:55:00+00:00,short,94595.54,94216.5,TP,2.013,102.6625,1.0
2025-04-28 14:29:00+00:00,2025-04-28 15:07:00+00:00,short,94644.68,94242.42,TP,2.0532,104.7157,1.0
2025-04-28 16:08:00+00:00,2025-04-28 16:33:00+00:00,short,93656.0,93845.51,SL,-1.0472,103.6686,1.0
2025-04-28 16:47:00+00:00,2025-04-28 17:30:00+00:00,short,93916.84,93520.0,TP,2.0734,105.7419,1.0
2025-04-28 19:01:00+00:00,2025-04-28 19:19:00+00:00,long,94259.79,94671.11,TP,2.1148,107.8568,1.0
2025-04-28 20:19:00+00:00,2025-04-28 21:12:00+00:00,long,94588.06,94386.24,SL,-1.0786,106.7782,1.0
2025-04-28 21:24:00+00:00,2025-04-28 22:50:00+00:00,long,94428.0,94818.86,TP,2.1356,108.9138,1.0
2025-04-28 23:04:00+00:00,2025-04-29 01:11:00+00:00,long,94898.66,95416.23,TP,2.1783,111.092,1.0
2025-04-29 01:25:00+00:00,2025-04-29 02:01:00+00:00,long,95039.0,94806.76,SL,-1.1109,109.9811,1.0
2025-04-29 02:44:00+00:00,2025-04-29 04:53:00+00:00,short,94750.0,94342.5,TP,2.1996,112.1807,1.0
2025-04-29 05:36:00+00:00,2025-04-29 06:14:00+00:00,short,94289.01,94481.42,SL,-1.1218,111.0589,1.0
2025-04-29 06:52:00+00:00,2025-04-29 11:13:00+00:00,long,94746.88,95156.85,TP,2.2212,113.2801,1.0
2025-04-29 11:51:00+00:00,2025-04-29 12:27:00+00:00,long,95097.37,94900.03,SL,-1.1328,112.1473,1.0
2025-04-29 12:50:00+00:00,2025-04-29 14:08:00+00:00,short,94861.22,95067.39,SL,-1.1215,111.0258,1.0
2025-04-29 14:12:00+00:00,2025-04-29 14:38:00+00:00,short,94836.82,95140.0,SL,-1.1103,109.9156,1.0
2025-04-29 15:08:00+00:00,2025-04-29 15:17:00+00:00,long,95115.39,94898.11,SL,-1.0992,108.8164,1.0
2025-04-29 15:34:00+00:00,2025-04-29 15:43:00+00:00,short,94773.43,94977.81,SL,-1.0882,107.7283,1.0
2025-04-29 15:51:00+00:00,2025-04-29 16:27:00+00:00,short,94876.72,95073.01,SL,-1.0773,106.651,1.0
2025-04-29 17:44:00+00:00,2025-04-29 20:20:00+00:00,long,95191.57,94968.97,SL,-1.0665,105.5845,1.0
2025-04-29 20:52:00+00:00,2025-04-29 21:23:00+00:00,short,94839.6,94451.65,TP,2.1117,107.6962,1.0
2025-04-29 21:49:00+00:00,2025-04-29 21:58:00+00:00,short,94552.27,94742.64,SL,-1.077,106.6192,1.0
2025-04-29 22:02:00+00:00,2025-04-29 22:10:00+00:00,short,94629.27,94244.39,TP,2.1324,108.7516,1.0
2025-04-29 22:59:00+00:00,2025-04-29 23:11:00+00:00,short,94163.67,93780.01,TP,2.175,110.9266,1.0
2025-04-29 23:59:00+00:00,2025-04-30 00:21:00+00:00,short,94256.82,94448.24,SL,-1.1093,109.8174,1.0
2025-04-30 00:34:00+00:00,2025-04-30 01:46:00+00:00,long,94547.44,94354.16,SL,-1.0982,108.7192,1.0
2025-04-30 01:54:00+00:00,2025-04-30 03:45:00+00:00,long,94452.99,94836.0,TP,2.1744,110.8936,1.0
2025-04-30 04:33:00+00:00,2025-04-30 06:42:00+00:00,long,94975.48,94776.82,SL,-1.1089,109.7846,1.0
2025-04-30 06:58:00+00:00,2025-04-30 09:41:00+00:00,short,94751.99,94955.17,SL,-1.0978,108.6868,1.0
2025-04-30 10:14:00+00:00,2025-04-30 12:32:00+00:00,long,94938.73,94724.79,SL,-1.0869,107.5999,1.0
2025-04-30 13:08:00+00:00,2025-04-30 13:26:00+00:00,short,94397.29,94638.0,SL,-1.076,106.5239,1.0
2025-04-30 13:37:00+00:00,2025-04-30 13:41:00+00:00,short,94252.25,93815.4,TP,2.1305,108.6544,1.0
2025-04-30 14:37:00+00:00,2025-04-30 16:41:00+00:00,short,93969.79,94170.37,SL,-1.0865,107.5678,1.0
2025-04-30 18:07:00+00:00,2025-04-30 18:29:00+00:00,long,94354.04,94159.83,SL,-1.0757,106.4922,1.0
2025-04-30 18:46:00+00:00,2025-04-30 19:22:00+00:00,long,94129.82,93940.0,SL,-1.0649,105.4272,1.0
2025-04-30 20:28:00+00:00,2025-04-30 21:11:00+00:00,long,94706.37,94500.01,SL,-1.0543,104.373,1.0
2025-04-30 21:17:00+00:00,2025-04-30 21:54:00+00:00,long,94641.65,94421.35,SL,-1.0437,103.3292,1.0
2025-04-30 22:00:00+00:00,2025-04-30 22:31:00+00:00,long,94548.21,94315.08,SL,-1.0333,102.296,1.0
2025-04-30 22:46:00+00:00,2025-05-01 00:52:00+00:00,short,94195.5,94391.29,SL,-1.023,101.273,1.0
2025-05-01 01:00:00+00:00,2025-05-01 02:07:00+00:00,long,94398.51,94777.63,TP,2.0255,103.2985,1.0
2025-05-01 02:24:00+00:00,2025-05-01 08:54:00+00:00,long,94799.99,95184.33,TP,2.066,105.3644,1.0
2025-05-01 09:17:00+00:00,2025-05-01 09:50:00+00:00,long,95215.0,95667.46,TP,2.1073,107.4717,1.0
2025-05-01 10:07:00+00:00,2025-05-01 10:19:00+00:00,long,95713.85,96214.0,TP,2.1494,109.6211,1.0
2025-05-01 10:54:00+00:00,2025-05-01 11:24:00+00:00,long,96171.78,95940.85,SL,-1.0962,108.5249,1.0
2025-05-01 11:31:00+00:00,2025-05-01 12:41:00+00:00,long,96015.07,96455.68,TP,2.1705,110.6954,1.0
