entry_time,exit_time,direction,entry,exit,result,pnl,capital,month
2024-04-25 20:00:00+00:00,2024-04-25 20:05:00+00:00,LONG,65012.03,64882.01,SL,-1.0,99.0,2024-04
2024-04-25 22:00:00+00:00,2024-04-25 22:25:00+00:00,SHORT,64593.01,64722.2,SL,-0.99,98.01,2024-04
2024-04-26 01:40:00+00:00,2024-04-26 03:00:00+00:00,LONG,64473.76,64344.81,SL,-0.9801,97.0299,2024-04
2024-04-26 04:05:00+00:00,2024-04-26 04:25:00+00:00,SHORT,64215.35,64343.78,SL,-0.9703,96.0596,2024-04
2024-04-26 05:45:00+00:00,2024-04-26 07:10:00+00:00,LONG,64438.25,64309.38,SL,-0.9606,95.099,2024-04
2024-04-26 07:35:00+00:00,2024-04-26 08:05:00+00:00,SHORT,64242.17,64370.66,SL,-0.951,94.148,2024-04
2024-04-26 09:25:00+00:00,2024-04-26 09:45:00+00:00,LONG,64531.52,64402.46,SL,-0.9415,93.2065,2024-04
2024-04-26 10:40:00+00:00,2024-04-26 12:35:00+00:00,SHORT,64252.75,64381.25,SL,-0.9321,92.2745,2024-04
2024-04-26 12:35:00+00:00,2024-04-26 12:45:00+00:00,LONG,64466.56,64337.62,SL,-0.9227,91.3517,2024-04
2024-04-26 12:50:00+00:00,2024-04-26 12:55:00+00:00,SHORT,63954.42,64082.33,SL,-0.9135,90.4382,2024-04
2024-04-26 13:45:00+00:00,2024-04-26 14:10:00+00:00,LONG,64395.57,64717.55,TP,2.261,92.6992,2024-04
2024-04-26 14:35:00+00:00,2024-04-26 15:20:00+00:00,SHORT,64000.39,63680.39,TP,2.3175,95.0166,2024-04
2024-04-26 17:30:00+00:00,2024-04-26 17:40:00+00:00,LONG,64004.03,63876.02,SL,-0.9502,94.0665,2024-04
2024-04-26 19:55:00+00:00,2024-04-26 20:00:00+00:00,SHORT,63716.55,63843.99,SL,-0.9407,93.1258,2024-04
2024-04-26 21:50:00+00:00,2024-04-26 22:25:00+00:00,LONG,64065.5,63937.36,SL,-0.9313,92.1946,2024-04
2024-04-26 22:25:00+00:00,2024-04-27 00:35:00+00:00,SHORT,63796.43,63477.45,TP,2.3049,94.4994,2024-04
2024-04-27 02:25:00+00:00,2024-04-27 02:35:00+00:00,LONG,63192.97,63066.58,SL,-0.945,93.5544,2024-04
2024-04-27 05:05:00+00:00,2024-04-27 05:20:00+00:00,SHORT,62850.75,62976.45,SL,-0.9355,92.6189,2024-04
2024-04-27 12:05:00+00:00,2024-04-27 12:25:00+00:00,LONG,63148.36,63022.06,SL,-0.9262,91.6927,2024-04
2024-04-27 15:30:00+00:00,2024-04-27 17:40:00+00:00,SHORT,62978.66,63104.62,SL,-0.9169,90.7758,2024-04
2024-04-27 17:40:00+00:00,2024-04-27 18:15:00+00:00,LONG,63303.32,63176.71,SL,-0.9078,89.868,2024-04
2024-04-27 20:25:00+00:00,2024-04-27 20:40:00+00:00,SHORT,63145.84,63272.13,SL,-0.8987,88.9693,2024-04
2024-04-27 22:00:00+00:00,2024-04-28 00:25:00+00:00,LONG,63369.33,63686.17,TP,2.2242,91.1936,2024-04
2024-04-28 04:50:00+00:00,2024-04-28 05:55:00+00:00,SHORT,63814.72,63942.35,SL,-0.9119,90.2816,2024-04
2024-04-28 06:50:00+00:00,2024-04-28 07:40:00+00:00,LONG,64030.94,63902.88,SL,-0.9028,89.3788,2024-04
2024-04-28 08:40:00+00:00,2024-04-28 09:05:00+00:00,SHORT,63642.72,63770.01,SL,-0.8938,88.485,2024-04
2024-04-28 13:10:00+00:00,2024-04-28 14:35:00+00:00,LONG,63725.49,63598.04,SL,-0.8849,87.6002,2024-04
2024-04-28 14:40:00+00:00,2024-04-28 15:05:00+00:00,SHORT,63521.43,63648.47,SL,-0.876,86.7242,2024-04
2024-04-28 16:20:00+00:00,2024-04-28 16:45:00+00:00,LONG,63737.48,63610.01,SL,-0.8672,85.8569,2024-04
2024-04-28 20:00:00+00:00,2024-04-28 22:30:00+00:00,SHORT,63680.53,63362.12,TP,2.1464,88.0033,2024-04
2024-04-29 09:50:00+00:00,2024-04-29 10:40:00+00:00,LONG,62604.89,62479.68,SL,-0.88,87.1233,2024-04
2024-04-29 11:35:00+00:00,2024-04-29 12:35:00+00:00,SHORT,62253.1,62377.6,SL,-0.8712,86.2521,2024-04
2024-04-29 12:35:00+00:00,2024-04-29 13:35:00+00:00,LONG,62513.02,62387.99,SL,-0.8625,85.3896,2024-04
2024-04-29 13:35:00+00:00,2024-04-29 13:45:00+00:00,SHORT,62178.92,61868.02,TP,2.1347,87.5243,2024-04
2024-04-29 14:20:00+00:00,2024-04-29 14:30:00+00:00,LONG,62586.22,62899.16,TP,2.1881,89.7124,2024-04
2024-04-29 19:00:00+00:00,2024-04-29 19:30:00+00:00,SHORT,62604.96,62730.17,SL,-0.8971,88.8153,2024-04
2024-04-29 19:55:00+00:00,2024-04-29 21:10:00+00:00,LONG,63012.56,62886.54,SL,-0.8882,87.9271,2024-04
2024-04-30 01:50:00+00:00,2024-04-30 02:00:00+00:00,SHORT,63900.42,63580.92,TP,2.1982,90.1253,2024-04
2024-04-30 14:45:00+00:00,2024-04-30 14:55:00+00:00,LONG,61425.19,61302.34,SL,-0.9013,89.2241,2024-04
2024-04-30 15:40:00+00:00,2024-04-30 16:00:00+00:00,SHORT,60675.71,60797.06,SL,-0.8922,88.3318,2024-04
2024-04-30 22:10:00+00:00,2024-04-30 22:25:00+00:00,LONG,60450.51,60752.76,TP,2.2083,90.5401,2024-04
2024-05-01 00:30:00+00:00,2024-05-01 01:05:00+00:00,SHORT,60301.87,60000.36,TP,2.2635,92.8036,2024-05
2024-05-01 04:00:00+00:00,2024-05-01 04:25:00+00:00,LONG,60344.27,60223.58,SL,-0.928,91.8756,2024-05
2024-05-01 05:20:00+00:00,2024-05-01 06:25:00+00:00,SHORT,60073.4,59773.03,TP,2.2969,94.1725,2024-05
2024-05-01 10:25:00+00:00,2024-05-01 10:55:00+00:00,LONG,57461.79,57749.09,TP,2.3543,96.5268,2024-05
2024-05-01 13:30:00+00:00,2024-05-01 13:35:00+00:00,SHORT,57356.04,57470.75,SL,-0.9653,95.5615,2024-05
2024-05-01 17:50:00+00:00,2024-05-01 17:55:00+00:00,LONG,57617.37,57502.13,SL,-0.9556,94.6059,2024-05
2024-05-01 19:30:00+00:00,2024-05-01 19:40:00+00:00,SHORT,57184.5,57298.87,SL,-0.9461,93.6598,2024-05
2024-05-01 21:25:00+00:00,2024-05-01 21:30:00+00:00,LONG,58181.26,58064.9,SL,-0.9366,92.7232,2024-05
2024-05-02 00:30:00+00:00,2024-05-02 01:25:00+00:00,SHORT,57966.81,57676.98,TP,2.3181,95.0413,2024-05
2024-05-02 06:25:00+00:00,2024-05-02 06:30:00+00:00,LONG,57741.64,57626.15,SL,-0.9504,94.0909,2024-05
2024-05-02 13:45:00+00:00,2024-05-02 13:55:00+00:00,SHORT,58316.38,58433.02,SL,-0.9409,93.15,2024-05
2024-05-02 14:35:00+00:00,2024-05-02 16:45:00+00:00,LONG,59102.63,58984.43,SL,-0.9315,92.2185,2024-05
2024-05-02 20:35:00+00:00,2024-05-02 20:40:00+00:00,SHORT,58792.25,58909.84,SL,-0.9222,91.2963,2024-05
2024-05-02 21:35:00+00:00,2024-05-02 21:40:00+00:00,LONG,59570.64,59451.5,SL,-0.913,90.3833,2024-05
2024-05-03 00:15:00+00:00,2024-05-03 01:00:00+00:00,SHORT,58981.19,59099.15,SL,-0.9038,89.4795,2024-05
2024-05-03 01:05:00+00:00,2024-05-03 02:10:00+00:00,LONG,59369.73,59666.58,TP,2.237,91.7165,2024-05
2024-05-03 05:05:00+00:00,2024-05-03 07:45:00+00:00,SHORT,59483.04,59185.62,TP,2.2929,94.0094,2024-05
2024-05-03 09:40:00+00:00,2024-05-03 10:10:00+00:00,LONG,59496.41,59377.42,SL,-0.9401,93.0693,2024-05
2024-05-03 10:30:00+00:00,2024-05-03 11:50:00+00:00,SHORT,59197.02,59315.42,SL,-0.9307,92.1386,2024-05
2024-05-03 11:50:00+00:00,2024-05-03 12:00:00+00:00,LONG,59377.75,59259.0,SL,-0.9214,91.2172,2024-05
2024-05-03 19:15:00+00:00,2024-05-03 19:25:00+00:00,SHORT,61580.01,61703.17,SL,-0.9122,90.3051,2024-05
2024-05-03 19:55:00+00:00,2024-05-03 20:20:00+00:00,LONG,62092.15,62402.61,TP,2.2576,92.5627,2024-05
2024-05-03 21:30:00+00:00,2024-05-03 21:40:00+00:00,SHORT,62402.89,62527.69,SL,-0.9256,91.6371,2024-05
2024-05-03 22:25:00+00:00,2024-05-03 22:50:00+00:00,LONG,62971.75,62845.81,SL,-0.9164,90.7207,2024-05
2024-05-04 02:00:00+00:00,2024-05-04 04:40:00+00:00,SHORT,62712.95,62838.38,SL,-0.9072,89.8135,2024-05
2024-05-04 04:45:00+00:00,2024-05-04 05:55:00+00:00,LONG,63005.21,63320.24,TP,2.2453,92.0588,2024-05
2024-05-04 07:05:00+00:00,2024-05-04 07:25:00+00:00,SHORT,62896.85,63022.64,SL,-0.9206,91.1382,2024-05
2024-05-04 08:45:00+00:00,2024-05-04 09:40:00+00:00,LONG,63239.05,63112.57,SL,-0.9114,90.2269,2024-05
2024-05-04 13:30:00+00:00,2024-05-04 14:30:00+00:00,SHORT,63611.0,63738.22,SL,-0.9023,89.3246,2024-05
2024-05-04 19:45:00+00:00,2024-05-04 20:05:00+00:00,LONG,63782.97,64101.89,TP,2.2331,91.5577,2024-05
2024-05-04 21:30:00+00:00,2024-05-04 21:40:00+00:00,SHORT,63524.59,63651.64,SL,-0.9156,90.6421,2024-05
2024-05-04 23:15:00+00:00,2024-05-05 00:30:00+00:00,LONG,63923.99,63796.14,SL,-0.9064,89.7357,2024-05
2024-05-05 00:30:00+00:00,2024-05-05 01:10:00+00:00,SHORT,63720.41,63401.81,TP,2.2434,91.9791,2024-05
2024-05-05 04:15:00+00:00,2024-05-05 05:50:00+00:00,LONG,63349.34,63222.64,SL,-0.9198,91.0593,2024-05
2024-05-05 07:05:00+00:00,2024-05-05 07:35:00+00:00,LONG,63491.39,63808.84,TP,2.2765,93.3358,2024-05
2024-05-05 18:10:00+00:00,2024-05-05 20:25:00+00:00,SHORT,64024.8,63704.68,TP,2.3334,95.6692,2024-05
2024-05-05 21:55:00+00:00,2024-05-05 22:10:00+00:00,LONG,63893.96,63766.17,SL,-0.9567,94.7125,2024-05
2024-05-06 02:00:00+00:00,2024-05-06 02:05:00+00:00,SHORT,64010.9,64138.92,SL,-0.9471,93.7654,2024-05
2024-05-06 04:40:00+00:00,2024-05-06 06:10:00+00:00,LONG,64048.54,64368.78,TP,2.3441,96.1095,2024-05
2024-05-06 10:20:00+00:00,2024-05-06 10:35:00+00:00,SHORT,64870.04,64545.69,TP,2.4027,98.5122,2024-05
2024-05-06 14:05:00+00:00,2024-05-06 14:30:00+00:00,LONG,64059.62,63931.5,SL,-0.9851,97.5271,2024-05
2024-05-06 14:55:00+00:00,2024-05-06 15:25:00+00:00,SHORT,63246.66,63373.15,SL,-0.9753,96.5518,2024-05
2024-05-06 21:05:00+00:00,2024-05-06 23:05:00+00:00,LONG,63511.78,63384.76,SL,-0.9655,95.5863,2024-05
2024-05-06 23:10:00+00:00,2024-05-07 00:35:00+00:00,SHORT,63284.37,63410.93,SL,-0.9559,94.6305,2024-05
2024-05-07 00:35:00+00:00,2024-05-07 01:45:00+00:00,LONG,63477.38,63794.77,TP,2.3658,96.9962,2024-05
2024-05-07 03:20:00+00:00,2024-05-07 03:25:00+00:00,SHORT,63448.61,63131.37,TP,2.4249,99.4211,2024-05
2024-05-07 05:40:00+00:00,2024-05-07 06:05:00+00:00,LONG,63631.46,63504.2,SL,-0.9942,98.4269,2024-05
2024-05-07 10:10:00+00:00,2024-05-07 10:40:00+00:00,SHORT,63864.91,63992.64,SL,-0.9843,97.4427,2024-05
2024-05-07 14:55:00+00:00,2024-05-07 15:10:00+00:00,LONG,64050.08,63921.98,SL,-0.9744,96.4682,2024-05
2024-05-07 17:05:00+00:00,2024-05-07 18:35:00+00:00,SHORT,63399.5,63082.5,TP,2.4117,98.8799,2024-05
2024-05-08 02:00:00+00:00,2024-05-08 04:40:00+00:00,LONG,62710.7,62585.28,SL,-0.9888,97.8911,2024-05
2024-05-08 13:55:00+00:00,2024-05-08 14:05:00+00:00,LONG,62472.59,62347.64,SL,-0.9789,96.9122,2024-05
2024-05-08 15:15:00+00:00,2024-05-08 15:30:00+00:00,SHORT,62015.24,62139.27,SL,-0.9691,95.9431,2024-05
2024-05-08 17:00:00+00:00,2024-05-08 17:20:00+00:00,LONG,62625.45,62500.2,SL,-0.9594,94.9837,2024-05
2024-05-08 19:05:00+00:00,2024-05-08 19:20:00+00:00,SHORT,62445.02,62132.8,TP,2.3746,97.3583,2024-05
2024-05-09 00:25:00+00:00,2024-05-09 03:00:00+00:00,LONG,61401.66,61708.67,TP,2.434,99.7922,2024-05
2024-05-09 03:10:00+00:00,2024-05-09 03:40:00+00:00,SHORT,61525.33,61648.38,SL,-0.9979,98.7943,2024-05
2024-05-09 06:05:00+00:00,2024-05-09 06:40:00+00:00,LONG,61770.29,61646.75,SL,-0.9879,97.8063,2024-05
2024-05-09 07:20:00+00:00,2024-05-09 07:50:00+00:00,SHORT,61506.11,61198.58,TP,2.4452,100.2515,2024-05
2024-05-09 12:30:00+00:00,2024-05-09 13:30:00+00:00,LONG,61434.09,61311.23,SL,-1.0025,99.249,2024-05
2024-05-09 13:35:00+00:00,2024-05-09 14:00:00+00:00,SHORT,61098.04,61220.24,SL,-0.9925,98.2565,2024-05
2024-05-09 14:45:00+00:00,2024-05-09 15:05:00+00:00,LONG,61479.72,61787.12,TP,2.4564,100.7129,2024-05
2024-05-09 16:55:00+00:00,2024-05-09 17:05:00+00:00,SHORT,61835.07,61958.74,SL,-1.0071,99.7058,2024-05
2024-05-09 19:35:00+00:00,2024-05-09 21:00:00+00:00,LONG,62372.52,62684.38,TP,2.4926,102.1984,2024-05
2024-05-10 00:45:00+00:00,2024-05-10 01:00:00+00:00,SHORT,62740.09,62865.57,SL,-1.022,101.1764,2024-05
2024-05-10 06:40:00+00:00,2024-05-10 07:15:00+00:00,LONG,62975.17,63290.05,TP,2.5294,103.7059,2024-05
2024-05-10 09:05:00+00:00,2024-05-10 09:40:00+00:00,SHORT,62878.84,63004.6,SL,-1.0371,102.6688,2024-05
2024-05-10 09:40:00+00:00,2024-05-10 10:00:00+00:00,LONG,63206.74,63080.33,SL,-1.0267,101.6421,2024-05
2024-05-10 12:45:00+00:00,2024-05-10 14:10:00+00:00,SHORT,62972.32,62657.46,TP,2.5411,104.1832,2024-05
2024-05-10 20:05:00+00:00,2024-05-10 20:15:00+00:00,LONG,60960.76,60838.84,SL,-1.0418,103.1413,2024-05
2024-05-10 23:55:00+00:00,2024-05-11 00:20:00+00:00,SHORT,60775.67,60897.22,SL,-1.0314,102.1099,2024-05
2024-05-11 01:10:00+00:00,2024-05-11 01:25:00+00:00,LONG,61076.42,60954.27,SL,-1.0211,101.0888,2024-05
2024-05-11 03:35:00+00:00,2024-05-11 05:10:00+00:00,SHORT,60735.7,60857.17,SL,-1.0109,100.0779,2024-05
2024-05-11 05:55:00+00:00,2024-05-11 08:40:00+00:00,LONG,60946.37,60824.48,SL,-1.0008,99.0772,2024-05
2024-05-11 12:35:00+00:00,2024-05-11 12:45:00+00:00,LONG,60814.31,60692.68,SL,-0.9908,98.0864,2024-05
2024-05-11 19:40:00+00:00,2024-05-12 07:30:00+00:00,SHORT,61045.57,60740.34,TP,2.4522,100.5385,2024-05
2024-05-12 08:30:00+00:00,2024-05-12 15:40:00+00:00,LONG,61061.52,61366.83,TP,2.5135,103.052,2024-05
2024-05-12 16:55:00+00:00,2024-05-12 17:10:00+00:00,SHORT,61322.23,61444.88,SL,-1.0305,102.0215,2024-05
2024-05-12 22:05:00+00:00,2024-05-13 00:25:00+00:00,LONG,61363.27,61670.08,TP,2.5505,104.572,2024-05
2024-05-13 01:10:00+00:00,2024-05-13 02:30:00+00:00,SHORT,61411.01,61103.95,TP,2.6143,107.1863,2024-05
2024-05-13 06:10:00+00:00,2024-05-13 06:55:00+00:00,LONG,61176.47,61482.35,TP,2.6797,109.866,2024-05
2024-05-13 10:25:00+00:00,2024-05-13 12:00:00+00:00,SHORT,62626.24,62751.49,SL,-1.0987,108.7673,2024-05
2024-05-13 13:00:00+00:00,2024-05-13 13:30:00+00:00,LONG,62938.46,62812.58,SL,-1.0877,107.6796,2024-05
2024-05-13 17:05:00+00:00,2024-05-13 17:10:00+00:00,SHORT,62719.16,62844.6,SL,-1.0768,106.6028,2024-05
2024-05-13 19:15:00+00:00,2024-05-13 21:40:00+00:00,LONG,63055.7,62929.59,SL,-1.066,105.5368,2024-05
2024-05-13 21:50:00+00:00,2024-05-13 22:05:00+00:00,SHORT,62814.87,62940.5,SL,-1.0554,104.4815,2024-05
2024-05-14 00:25:00+00:00,2024-05-14 00:45:00+00:00,LONG,62990.73,62864.74,SL,-1.0448,103.4366,2024-05
2024-05-14 00:45:00+00:00,2024-05-14 01:10:00+00:00,SHORT,62787.62,62913.2,SL,-1.0344,102.4023,2024-05
2024-05-14 05:35:00+00:00,2024-05-14 06:00:00+00:00,LONG,62733.68,62608.22,SL,-1.024,101.3782,2024-05
2024-05-14 06:05:00+00:00,2024-05-14 06:10:00+00:00,SHORT,62250.6,61939.35,TP,2.5345,103.9127,2024-05
2024-05-14 11:25:00+00:00,2024-05-14 12:30:00+00:00,LONG,61894.76,61770.97,SL,-1.0391,102.8736,2024-05
2024-05-14 12:30:00+00:00,2024-05-14 12:40:00+00:00,SHORT,61543.47,61666.56,SL,-1.0287,101.8448,2024-05
2024-05-14 14:25:00+00:00,2024-05-14 14:35:00+00:00,LONG,62013.27,61889.24,SL,-1.0184,100.8264,2024-05
2024-05-14 16:40:00+00:00,2024-05-14 19:20:00+00:00,SHORT,61378.96,61501.72,SL,-1.0083,99.8181,2024-05
2024-05-14 19:25:00+00:00,2024-05-14 21:20:00+00:00,LONG,61654.85,61531.54,SL,-0.9982,98.8199,2024-05
2024-05-14 21:20:00+00:00,2024-05-14 21:35:00+00:00,SHORT,61483.05,61606.01,SL,-0.9882,97.8317,2024-05
2024-05-14 21:35:00+00:00,2024-05-14 22:25:00+00:00,LONG,61764.35,61640.82,SL,-0.9783,96.8534,2024-05
2024-05-14 23:15:00+00:00,2024-05-15 00:20:00+00:00,SHORT,61530.73,61653.79,SL,-0.9685,95.8849,2024-05
2024-05-15 00:25:00+00:00,2024-05-15 00:35:00+00:00,LONG,61757.76,61634.25,SL,-0.9588,94.926,2024-05
2024-05-15 00:35:00+00:00,2024-05-15 01:15:00+00:00,SHORT,61516.92,61639.96,SL,-0.9493,93.9768,2024-05
2024-05-15 01:20:00+00:00,2024-05-15 05:10:00+00:00,LONG,61722.88,62031.49,TP,2.3494,96.3262,2024-05
2024-05-15 11:35:00+00:00,2024-05-15 11:40:00+00:00,SHORT,62284.85,62409.42,SL,-0.9633,95.3629,2024-05
2024-05-15 12:30:00+00:00,2024-05-15 12:35:00+00:00,LONG,63789.15,63661.57,SL,-0.9536,94.4093,2024-05
2024-05-16 01:30:00+00:00,2024-05-16 02:10:00+00:00,SHORT,65967.95,66099.89,SL,-0.9441,93.4652,2024-05
2024-05-16 06:20:00+00:00,2024-05-16 09:00:00+00:00,LONG,65990.4,66320.35,TP,2.3366,95.8019,2024-05
2024-05-16 10:30:00+00:00,2024-05-16 11:45:00+00:00,SHORT,66092.35,66224.54,SL,-0.958,94.8438,2024-05
2024-05-16 11:55:00+00:00,2024-05-16 12:00:00+00:00,LONG,66530.4,66397.34,SL,-0.9484,93.8954,2024-05
2024-05-16 12:35:00+00:00,2024-05-16 12:45:00+00:00,SHORT,66039.56,66171.64,SL,-0.939,92.9564,2024-05
2024-05-16 19:05:00+00:00,2024-05-16 19:55:00+00:00,LONG,65340.58,65209.89,SL,-0.9296,92.0269,2024-05
2024-05-16 20:05:00+00:00,2024-05-16 20:35:00+00:00,SHORT,65075.97,65206.12,SL,-0.9203,91.1066,2024-05
2024-05-16 21:05:00+00:00,2024-05-16 21:20:00+00:00,LONG,65421.89,65291.04,SL,-0.9111,90.1955,2024-05
2024-05-16 22:10:00+00:00,2024-05-16 22:30:00+00:00,SHORT,65115.46,65245.69,SL,-0.902,89.2936,2024-05
2024-05-17 00:15:00+00:00,2024-05-17 00:35:00+00:00,LONG,65460.16,65329.24,SL,-0.8929,88.4007,2024-05
2024-05-17 01:15:00+00:00,2024-05-17 01:35:00+00:00,SHORT,65185.18,65315.55,SL,-0.884,87.5166,2024-05
2024-05-17 02:40:00+00:00,2024-05-17 03:40:00+00:00,LONG,65476.24,65803.62,TP,2.1879,89.7046,2024-05
2024-05-17 11:10:00+00:00,2024-05-17 12:30:00+00:00,SHORT,66212.64,66345.07,SL,-0.897,88.8075,2024-05
2024-05-17 12:45:00+00:00,2024-05-17 13:00:00+00:00,LONG,66502.03,66369.03,SL,-0.8881,87.9194,2024-05
2024-05-17 13:35:00+00:00,2024-05-17 14:20:00+00:00,SHORT,66047.59,66179.69,SL,-0.8792,87.0402,2024-05
