entry_time,exit_time,direction,entry,exit,result,pnl,capital,year
2023-04-26 19:05:00+00:00,2023-04-26 19:15:00+00:00,short,29578.48,29346.93,TP,2.0,102.0,2023
2023-04-26 22:45:00+00:00,2023-04-26 23:10:00+00:00,short,28330.0,28450.16,SL,-1.02,100.98,2023
2023-04-26 23:35:00+00:00,2023-04-26 23:50:00+00:00,short,28314.36,28382.23,SL,-1.0098,99.9702,2023
2023-04-27 01:15:00+00:00,2023-04-27 01:20:00+00:00,short,29068.1,28651.41,TP,1.9994,101.9696,2023
2023-04-27 02:30:00+00:00,2023-04-27 02:40:00+00:00,long,29050.0,28972.31,SL,-1.0197,100.9499,2023
2023-04-27 03:00:00+00:00,2023-04-27 03:45:00+00:00,short,28936.9,29023.83,SL,-1.0095,99.9404,2023
2023-04-27 03:55:00+00:00,2023-04-27 04:10:00+00:00,short,28885.79,28963.63,SL,-0.9994,98.941,2023
2023-04-27 04:40:00+00:00,2023-04-27 05:20:00+00:00,long,29038.68,29186.07,TP,1.9788,100.9198,2023
2023-04-27 09:20:00+00:00,2023-04-27 09:30:00+00:00,short,28874.96,28941.3,SL,-1.0092,99.9106,2023
2023-04-27 09:35:00+00:00,2023-04-27 09:55:00+00:00,long,29006.86,28931.71,SL,-0.9991,98.9115,2023
2023-04-27 10:15:00+00:00,2023-04-27 11:35:00+00:00,long,28999.99,28929.92,SL,-0.9891,97.9224,2023
2023-04-27 12:15:00+00:00,2023-04-27 12:20:00+00:00,long,29050.76,28978.86,SL,-0.9792,96.9432,2023
2023-04-27 12:30:00+00:00,2023-04-27 12:35:00+00:00,short,28855.43,28734.69,TP,1.9389,98.882,2023
2023-04-27 15:15:00+00:00,2023-04-27 15:20:00+00:00,long,29052.73,29407.79,TP,1.9776,100.8597,2023
2023-04-27 17:10:00+00:00,2023-04-27 17:30:00+00:00,long,29174.04,29302.73,TP,2.0172,102.8769,2023
2023-04-27 21:10:00+00:00,2023-04-27 21:30:00+00:00,long,29752.72,29661.72,SL,-1.0288,101.8481,2023
2023-04-27 23:30:00+00:00,2023-04-28 00:20:00+00:00,long,29474.85,29397.59,SL,-1.0185,100.8296,2023
2023-04-28 00:30:00+00:00,2023-04-28 03:05:00+00:00,long,29444.67,29378.94,SL,-1.0083,99.8213,2023
2023-04-28 03:40:00+00:00,2023-04-28 05:35:00+00:00,long,29407.68,29531.48,TP,1.9964,101.8178,2023
2023-04-28 07:10:00+00:00,2023-04-28 08:05:00+00:00,long,29499.33,29433.81,SL,-1.0182,100.7996,2023
2023-04-28 11:45:00+00:00,2023-04-28 12:20:00+00:00,short,29240.5,29337.33,SL,-1.008,99.7916,2023
2023-04-28 12:55:00+00:00,2023-04-28 13:15:00+00:00,short,29229.29,29309.09,SL,-0.9979,98.7937,2023
2023-04-28 13:40:00+00:00,2023-04-28 13:55:00+00:00,short,28950.09,29029.48,SL,-0.9879,97.8057,2023
2023-04-28 15:00:00+00:00,2023-04-28 15:25:00+00:00,short,29005.13,29073.44,SL,-0.9781,96.8277,2023
2023-04-28 17:30:00+00:00,2023-04-28 19:00:00+00:00,short,29204.98,29398.89,SL,-0.9683,95.8594,2023
2023-04-28 20:05:00+00:00,2023-04-28 20:30:00+00:00,long,29380.48,29307.42,SL,-0.9586,94.9008,2023
2023-04-28 22:10:00+00:00,2023-04-28 23:20:00+00:00,long,29380.73,29310.3,SL,-0.949,93.9518,2023
2023-04-29 04:20:00+00:00,2023-04-29 06:25:00+00:00,long,29402.66,29318.11,SL,-0.9395,93.0123,2023
2023-04-29 07:05:00+00:00,2023-04-29 08:20:00+00:00,long,29354.69,29281.5,SL,-0.9301,92.0822,2023
2023-04-29 09:00:00+00:00,2023-04-29 13:25:00+00:00,short,29288.36,29347.42,SL,-0.9208,91.1613,2023
2023-04-29 17:25:00+00:00,2023-04-29 17:35:00+00:00,short,29241.04,29102.09,TP,1.8232,92.9846,2023
2023-04-29 20:40:00+00:00,2023-04-30 01:55:00+00:00,short,29228.93,29096.99,TP,1.8597,94.8443,2023
2023-04-30 07:15:00+00:00,2023-04-30 10:40:00+00:00,long,29289.41,29222.15,SL,-0.9484,93.8958,2023
2023-04-30 14:35:00+00:00,2023-04-30 15:00:00+00:00,long,29373.01,29583.5,TP,1.8779,95.7737,2023
2023-04-30 16:00:00+00:00,2023-04-30 16:10:00+00:00,long,29830.32,29729.36,SL,-0.9577,94.816,2023
2023-04-30 22:40:00+00:00,2023-04-30 23:55:00+00:00,short,29398.33,29233.21,TP,1.8963,96.7123,2023
2023-05-01 01:10:00+00:00,2023-05-01 01:35:00+00:00,short,29257.46,28780.04,TP,1.9342,98.6466,2023
2023-05-01 05:40:00+00:00,2023-05-01 05:55:00+00:00,short,28421.52,28483.68,SL,-0.9865,97.6601,2023
2023-05-01 08:00:00+00:00,2023-05-01 10:35:00+00:00,short,28619.74,28500.6,TP,1.9532,99.6133,2023
2023-05-01 12:00:00+00:00,2023-05-01 12:25:00+00:00,short,28481.04,28573.95,SL,-0.9961,98.6172,2023
2023-05-01 13:35:00+00:00,2023-05-01 14:00:00+00:00,short,28566.33,28447.13,TP,1.9723,100.5895,2023
2023-05-01 18:15:00+00:00,2023-05-01 19:10:00+00:00,short,28195.84,28035.42,TP,2.0118,102.6013,2023
2023-05-01 20:55:00+00:00,2023-05-01 21:00:00+00:00,short,27678.09,27828.15,SL,-1.026,101.5753,2023
2023-05-01 23:50:00+00:00,2023-05-02 01:50:00+00:00,short,28084.44,27950.0,TP,2.0315,103.6068,2023
2023-05-02 03:20:00+00:00,2023-05-02 03:35:00+00:00,short,27952.99,28016.64,SL,-1.0361,102.5707,2023
2023-05-02 04:25:00+00:00,2023-05-02 06:10:00+00:00,short,27976.16,28035.01,SL,-1.0257,101.545,2023
2023-05-02 06:35:00+00:00,2023-05-02 07:10:00+00:00,short,27985.39,28077.61,SL,-1.0154,100.5296,2023
2023-05-02 07:45:00+00:00,2023-05-02 08:00:00+00:00,short,28021.95,28078.59,SL,-1.0053,99.5243,2023
2023-05-02 08:30:00+00:00,2023-05-02 12:40:00+00:00,short,28069.42,28214.11,SL,-0.9952,98.529,2023
2023-05-02 13:10:00+00:00,2023-05-02 14:15:00+00:00,short,28063.5,28135.03,SL,-0.9853,97.5437,2023
2023-05-02 17:55:00+00:00,2023-05-02 18:45:00+00:00,long,28583.52,28744.82,TP,1.9509,99.4946,2023
2023-05-02 22:00:00+00:00,2023-05-03 00:10:00+00:00,long,28681.66,28598.42,SL,-0.9949,98.4997,2023
2023-05-03 01:35:00+00:00,2023-05-03 02:00:00+00:00,long,28557.22,28482.02,SL,-0.985,97.5147,2023
2023-05-03 02:05:00+00:00,2023-05-03 02:30:00+00:00,short,28414.21,28487.76,SL,-0.9751,96.5395,2023
2023-05-03 02:35:00+00:00,2023-05-03 06:50:00+00:00,long,28495.69,28626.01,TP,1.9308,98.4703,2023
2023-05-03 08:30:00+00:00,2023-05-03 09:00:00+00:00,long,28741.32,28673.71,SL,-0.9847,97.4856,2023
2023-05-03 11:30:00+00:00,2023-05-03 11:55:00+00:00,long,28632.2,28543.74,SL,-0.9749,96.5107,2023
2023-05-03 14:35:00+00:00,2023-05-03 14:40:00+00:00,short,28185.89,28247.75,SL,-0.9651,95.5456,2023
2023-05-03 20:40:00+00:00,2023-05-03 20:45:00+00:00,short,28323.73,28382.19,SL,-0.9555,94.5902,2023
2023-05-04 01:55:00+00:00,2023-05-04 02:00:00+00:00,long,29070.67,29190.04,TP,1.8918,96.482,2023
2023-05-04 03:10:00+00:00,2023-05-04 03:35:00+00:00,long,29091.14,29026.81,SL,-0.9648,95.5172,2023
2023-05-04 03:55:00+00:00,2023-05-04 08:10:00+00:00,long,29096.86,28994.65,SL,-0.9552,94.562,2023
2023-05-04 08:30:00+00:00,2023-05-04 10:30:00+00:00,long,29095.82,29222.67,TP,1.8912,96.4532,2023
2023-05-04 17:25:00+00:00,2023-05-04 18:20:00+00:00,short,28868.63,28742.82,TP,1.9291,98.3823,2023
2023-05-04 20:45:00+00:00,2023-05-05 00:30:00+00:00,short,28831.08,28904.84,SL,-0.9838,97.3985,2023
2023-05-05 01:30:00+00:00,2023-05-05 01:40:00+00:00,long,29163.53,29318.61,TP,1.948,99.3464,2023
2023-05-05 08:15:00+00:00,2023-05-05 12:30:00+00:00,long,29096.84,28918.73,SL,-0.9935,98.353,2023
2023-05-05 15:55:00+00:00,2023-05-05 16:00:00+00:00,long,29356.45,29554.85,TP,1.9671,100.32,2023
2023-05-05 17:00:00+00:00,2023-05-05 17:10:00+00:00,long,29637.3,29563.94,SL,-1.0032,99.3168,2023
2023-05-05 19:35:00+00:00,2023-05-05 22:45:00+00:00,long,29453.3,29643.43,TP,1.9863,101.3032,2023
2023-05-06 00:20:00+00:00,2023-05-06 00:35:00+00:00,long,29581.88,29780.02,TP,2.0261,103.3292,2023
2023-05-06 06:30:00+00:00,2023-05-06 06:45:00+00:00,short,29305.75,29369.51,SL,-1.0333,102.2959,2023
2023-05-06 07:55:00+00:00,2023-05-06 08:00:00+00:00,short,29363.35,29172.54,TP,2.0459,104.3419,2023
2023-05-06 09:25:00+00:00,2023-05-06 12:35:00+00:00,short,29295.02,29111.78,TP,2.0868,106.4287,2023
2023-05-06 19:15:00+00:00,2023-05-06 21:35:00+00:00,short,28865.17,28692.89,TP,2.1286,108.5573,2023
2023-05-06 23:35:00+00:00,2023-05-07 00:45:00+00:00,short,28818.91,28907.73,SL,-1.0856,107.4717,2023
2023-05-07 01:50:00+00:00,2023-05-07 03:35:00+00:00,short,28883.61,28763.45,TP,2.1494,109.6211,2023
2023-05-07 07:20:00+00:00,2023-05-07 08:30:00+00:00,long,28941.49,28868.46,SL,-1.0962,108.5249,2023
2023-05-07 11:15:00+00:00,2023-05-07 11:35:00+00:00,short,28779.19,28878.96,SL,-1.0852,107.4397,2023
2023-05-07 14:30:00+00:00,2023-05-07 15:20:00+00:00,long,29014.97,28937.86,SL,-1.0744,106.3653,2023
2023-05-07 17:00:00+00:00,2023-05-07 17:25:00+00:00,long,28999.99,28926.11,SL,-1.0637,105.3016,2023
