entry_time,exit_time,direction,entry,exit,result,pnl,capital
2025-04-25 18:05:00+00:00,2025-04-25 18:40:00+00:00,long,94727.41,95194.95,TP,2.0,102.0
2025-04-25 19:50:00+00:00,2025-04-25 20:20:00+00:00,long,95231.99,94973.3,SL,-1.02,100.98
2025-04-25 22:10:00+00:00,2025-04-26 00:30:00+00:00,long,94803.11,94609.45,SL,-1.0098,99.9702
2025-04-26 00:50:00+00:00,2025-04-26 04:00:00+00:00,long,94928.57,94720.28,SL,-0.9997,98.9705
2025-04-27 00:15:00+00:00,2025-04-27 01:20:00+00:00,long,94979.99,94698.45,SL,-0.9897,97.9808
2025-04-27 12:00:00+00:00,2025-04-27 14:15:00+00:00,short,93912.8,94173.91,SL,-0.9798,97.001
2025-04-27 14:50:00+00:00,2025-04-27 18:10:00+00:00,short,93962.41,94157.41,SL,-0.97,96.031
2025-04-27 23:45:00+00:00,2025-04-28 01:15:00+00:00,short,93709.98,93234.33,TP,1.9206,97.9516
2025-04-28 10:35:00+00:00,2025-04-28 13:30:00+00:00,long,95140.0,94794.0,SL,-0.9795,96.9721
2025-04-28 14:25:00+00:00,2025-04-28 14:30:00+00:00,long,94644.68,94384.4,SL,-0.9697,96.0024
2025-04-28 14:35:00+00:00,2025-04-28 14:50:00+00:00,long,94615.2,94416.0,SL,-0.96,95.0423
2025-04-28 22:00:00+00:00,2025-04-28 23:05:00+00:00,long,94552.02,94990.0,TP,1.9008,96.9432
2025-04-29 01:05:00+00:00,2025-04-29 01:10:00+00:00,long,95239.91,95034.92,SL,-0.9694,95.9737
2025-04-29 01:40:00+00:00,2025-04-29 01:50:00+00:00,long,95255.74,95005.24,SL,-0.9597,95.014
2025-04-29 03:30:00+00:00,2025-04-29 04:45:00+00:00,long,94717.92,94434.92,SL,-0.9501,94.0639
2025-04-29 11:10:00+00:00,2025-04-29 12:20:00+00:00,long,95200.0,94926.74,SL,-0.9406,93.1232
2025-04-29 13:50:00+00:00,2025-04-29 16:30:00+00:00,long,94911.43,95365.96,TP,1.8625,94.9857
2025-04-29 17:25:00+00:00,2025-04-29 20:15:00+00:00,long,95221.19,95014.03,SL,-0.9499,94.0358
2025-04-30 02:40:00+00:00,2025-04-30 11:25:00+00:00,long,94710.9,95114.22,TP,1.8807,95.9166
2025-04-30 16:15:00+00:00,2025-04-30 16:35:00+00:00,short,93662.12,94004.5,SL,-0.9592,94.9574
2025-04-30 18:35:00+00:00,2025-04-30 20:00:00+00:00,short,94076.81,94288.13,SL,-0.4748,94.4826
2025-05-01 04:55:00+00:00,2025-05-01 09:20:00+00:00,long,94860.51,95348.91,TP,0.4724,94.955
2025-05-01 12:45:00+00:00,2025-05-01 13:35:00+00:00,long,96409.99,96186.0,SL,-0.4748,94.4802
2025-05-01 14:25:00+00:00,2025-05-01 14:55:00+00:00,long,96404.01,96827.99,TP,0.9448,95.425
2025-05-01 16:35:00+00:00,2025-05-01 16:50:00+00:00,long,97326.91,97096.33,SL,-0.4771,94.9479
2025-05-01 18:45:00+00:00,2025-05-01 19:05:00+00:00,long,96908.57,96580.0,SL,-0.4747,94.4732
2025-05-01 19:45:00+00:00,2025-05-01 20:00:00+00:00,long,96611.12,96326.01,SL,-0.4724,94.0008
2025-05-01 20:10:00+00:00,2025-05-01 20:45:00+00:00,long,96724.0,96493.55,SL,-0.47,93.5308
2025-05-01 21:10:00+00:00,2025-05-01 21:55:00+00:00,long,96697.0,96464.55,SL,-0.4677,93.0632
2025-05-01 23:45:00+00:00,2025-05-02 00:20:00+00:00,long,96399.99,96801.58,TP,0.9306,93.9938
2025-05-02 03:00:00+00:00,2025-05-02 05:15:00+00:00,long,97065.57,96852.06,SL,-0.47,93.5238
2025-05-02 06:25:00+00:00,2025-05-02 07:00:00+00:00,long,96820.75,96572.01,SL,-0.4676,93.0562
2025-05-02 07:20:00+00:00,2025-05-02 07:35:00+00:00,long,96635.35,96424.23,SL,-0.4653,92.5909
2025-05-02 09:45:00+00:00,2025-05-02 12:50:00+00:00,long,96701.24,97107.99,TP,0.9259,93.5168
2025-05-02 14:15:00+00:00,2025-05-02 14:35:00+00:00,long,96978.23,97604.0,TP,0.9352,94.452
2025-05-02 16:10:00+00:00,2025-05-02 16:55:00+00:00,long,97613.2,97348.69,SL,-0.9445,93.5075
2025-05-02 18:00:00+00:00,2025-05-02 18:50:00+00:00,long,97467.47,97266.0,SL,-0.9351,92.5724
2025-05-03 14:35:00+00:00,2025-05-03 17:15:00+00:00,short,96330.5,95917.79,TP,0.9257,93.4981
2025-05-03 20:30:00+00:00,2025-05-03 23:30:00+00:00,short,96301.02,95880.35,TP,1.87,95.3681
2025-05-04 00:35:00+00:00,2025-05-04 01:50:00+00:00,short,95786.23,95991.6,SL,-0.9537,94.4144
2025-05-04 02:40:00+00:00,2025-05-04 06:00:00+00:00,short,95919.99,96134.46,SL,-0.9441,93.4703
2025-05-04 06:25:00+00:00,2025-05-04 08:30:00+00:00,short,95947.42,95488.61,TP,1.8694,95.3397
2025-05-04 09:55:00+00:00,2025-05-04 20:25:00+00:00,short,95485.01,95717.4,SL,-0.9534,94.3863
2025-05-05 01:20:00+00:00,2025-05-05 01:30:00+00:00,short,94313.01,93914.84,TP,1.8877,96.274
2025-05-05 03:25:00+00:00,2025-05-05 04:15:00+00:00,short,94016.61,94280.17,SL,-0.9627,95.3113
2025-05-05 06:45:00+00:00,2025-05-05 10:35:00+00:00,short,94662.01,94160.54,TP,1.9062,97.2175
2025-05-05 13:30:00+00:00,2025-05-05 15:05:00+00:00,short,94108.0,93656.99,TP,2.9165,100.134
2025-05-06 01:40:00+00:00,2025-05-06 04:50:00+00:00,short,94382.83,94573.58,SL,-1.502,98.632
2025-05-06 05:15:00+00:00,2025-05-06 08:25:00+00:00,short,94425.43,94036.67,TP,2.959,101.591
2025-05-06 09:35:00+00:00,2025-05-06 11:50:00+00:00,short,94136.77,93723.53,TP,3.0477,104.6387
2025-05-06 13:10:00+00:00,2025-05-06 13:40:00+00:00,short,93735.53,93952.68,SL,-1.5696,103.0691
2025-05-06 13:50:00+00:00,2025-05-06 14:00:00+00:00,short,93465.62,93955.7,SL,-1.546,101.5231
2025-05-06 15:05:00+00:00,2025-05-06 15:10:00+00:00,short,94086.91,94330.1,SL,-1.5228,100.0002
2025-05-07 00:20:00+00:00,2025-05-07 00:30:00+00:00,long,97384.0,97150.79,SL,-1.5,98.5002
2025-05-07 03:50:00+00:00,2025-05-07 05:35:00+00:00,long,96557.26,96334.99,SL,-1.4775,97.0227
2025-05-07 08:30:00+00:00,2025-05-07 13:15:00+00:00,long,96979.76,96783.3,SL,-1.4553,95.5674
2025-05-07 13:40:00+00:00,2025-05-07 13:45:00+00:00,long,97231.84,96895.94,SL,-1.4335,94.1339
2025-05-07 16:50:00+00:00,2025-05-07 17:15:00+00:00,long,96922.01,96674.61,SL,-1.412,92.7219
2025-05-07 18:30:00+00:00,2025-05-07 18:40:00+00:00,long,96767.19,96397.89,SL,-0.9272,91.7946
2025-05-08 00:55:00+00:00,2025-05-08 02:15:00+00:00,long,97770.01,98187.67,TP,0.9179,92.7126
2025-05-08 04:00:00+00:00,2025-05-08 04:50:00+00:00,long,99236.98,98982.58,SL,-0.9271,91.7855
2025-05-08 06:45:00+00:00,2025-05-08 07:25:00+00:00,long,98905.06,99319.47,TP,1.8357,93.6212
2025-05-08 13:20:00+00:00,2025-05-08 13:45:00+00:00,long,99370.21,99118.86,SL,-0.9362,92.685
2025-05-08 14:00:00+00:00,2025-05-08 14:10:00+00:00,long,99373.38,99174.6,SL,-0.9268,91.7581
2025-05-08 20:00:00+00:00,2025-05-08 20:35:00+00:00,long,101485.99,102191.28,TP,0.9176,92.6757
2025-05-09 01:45:00+00:00,2025-05-09 02:30:00+00:00,long,102893.32,102686.54,SL,-0.9268,91.7489
2025-05-09 04:05:00+00:00,2025-05-09 06:20:00+00:00,long,102619.04,103087.71,TP,0.9175,92.6664
2025-05-09 10:00:00+00:00,2025-05-09 10:45:00+00:00,long,102887.61,103355.99,TP,0.9267,93.5931
