entry_time,exit_time,direction,result,raw_pnl,spread_cost,pnl,capital
2026-02-27 03:00:00+00:00,2026-02-28 06:25:00+00:00,short,TP,2.0,0.02,1.98,101.98
2026-02-28 11:45:00+00:00,2026-02-28 17:55:00+00:00,short,SL,-1.0198,0.0204,-1.0402,100.9398
2026-02-28 18:30:00+00:00,2026-03-01 02:00:00+00:00,long,TP,2.0188,0.0202,1.9986,102.9384
2026-03-01 05:20:00+00:00,2026-03-01 16:50:00+00:00,long,SL,-1.0294,0.0206,-1.05,101.8884
2026-03-01 19:15:00+00:00,2026-03-02 15:05:00+00:00,short,SL,-1.0189,0.0204,-1.0393,100.8492
2026-03-02 20:00:00+00:00,2026-03-03 08:25:00+00:00,long,SL,-1.0085,0.0202,-1.0287,99.8205
2026-03-03 12:50:00+00:00,2026-03-03 16:25:00+00:00,short,SL,-0.9982,0.02,-1.0182,98.8023
2026-03-03 18:25:00+00:00,2026-03-04 09:15:00+00:00,long,TP,1.976,0.0198,1.9563,100.7586
2026-03-04 12:50:00+00:00,2026-03-06 12:45:00+00:00,long,SL,-1.0076,0.0202,-1.0277,99.7309
2026-03-06 13:55:00+00:00,2026-03-08 22:05:00+00:00,short,TP,1.9946,0.0199,1.9747,101.7056
2026-03-08 23:55:00+00:00,2026-03-09 03:10:00+00:00,short,SL,-1.0171,0.0203,-1.0374,100.6682
2026-03-09 04:25:00+00:00,2026-03-10 02:40:00+00:00,long,TP,2.0134,0.0201,1.9932,102.6614
2026-03-10 04:50:00+00:00,2026-03-13 12:45:00+00:00,long,TP,2.0532,0.0205,2.0327,104.6941
2026-03-13 17:40:00+00:00,2026-03-15 22:50:00+00:00,short,SL,-1.0469,0.0209,-1.0679,103.6262
2026-03-16 01:50:00+00:00,2026-03-17 01:10:00+00:00,long,TP,2.0725,0.0207,2.0518,105.678
2026-03-17 05:45:00+00:00,2026-03-18 20:05:00+00:00,short,TP,2.1136,0.0211,2.0924,107.7704
2026-03-18 22:00:00+00:00,2026-03-22 11:50:00+00:00,short,TP,2.1554,0.0216,2.1339,109.9043
2026-03-22 13:40:00+00:00,2026-03-23 11:05:00+00:00,short,SL,-1.099,0.022,-1.121,108.7833
2026-03-23 13:40:00+00:00,2026-03-24 14:10:00+00:00,long,SL,-1.0878,0.0218,-1.1096,107.6737
2026-03-24 16:35:00+00:00,2026-03-25 05:05:00+00:00,short,SL,-1.0767,0.0215,-1.0983,106.5754
2026-03-25 08:25:00+00:00,2026-03-26 09:30:00+00:00,long,SL,-1.0658,0.0213,-1.0871,105.4883
2026-03-26 11:25:00+00:00,2026-03-27 10:55:00+00:00,short,TP,2.1098,0.0211,2.0887,107.577
2026-03-27 13:50:00+00:00,2026-03-30 04:25:00+00:00,short,SL,-1.0758,0.0215,-1.0973,106.4797
2026-03-30 04:55:00+00:00,2026-03-31 09:55:00+00:00,long,SL,-1.0648,0.0213,-1.0861,105.3936
2026-03-31 13:00:00+00:00,2026-03-31 17:15:00+00:00,short,SL,-1.0539,0.0211,-1.075,104.3186
2026-03-31 19:10:00+00:00,2026-04-02 03:40:00+00:00,long,SL,-1.0432,0.0209,-1.064,103.2546
2026-04-02 04:40:00+00:00,2026-04-05 20:35:00+00:00,short,SL,-1.0325,0.0207,-1.0532,102.2014
2026-04-05 22:00:00+00:00,2026-04-07 22:25:00+00:00,long,TP,2.044,0.0204,2.0236,104.225
2026-04-08 03:30:00+00:00,2026-04-13 22:30:00+00:00,long,TP,2.0845,0.0208,2.0637,106.2886
2026-04-14 01:50:00+00:00,2026-04-17 14:20:00+00:00,long,TP,2.1258,0.0213,2.1045,108.3931
2026-04-17 18:40:00+00:00,2026-04-18 11:35:00+00:00,long,SL,-1.0839,0.0217,-1.1056,107.2875
2026-04-18 13:30:00+00:00,2026-04-22 02:55:00+00:00,short,SL,-1.0729,0.0215,-1.0943,106.1932
