entry_time,exit_time,direction,entry,exit,result,pnl,capital,month
2024-06-23 01:00:00+00:00,2024-06-23 10:00:00+00:00,long,64458.25,64274.68,SL,-1.0,99.0,2024-06
2024-06-26 05:00:00+00:00,2024-06-26 09:00:00+00:00,short,61609.18,61358.5,TP,1.98,100.98,2024-06
2024-06-28 05:00:00+00:00,2024-06-28 07:00:00+00:00,short,61533.72,61283.99,TP,2.0196,102.9996,2024-06
2024-06-30 02:00:00+00:00,2024-06-30 06:00:00+00:00,short,60723.46,60897.42,SL,-1.03,101.9696,2024-06
2024-07-03 19:00:00+00:00,2024-07-03 21:00:00+00:00,short,59722.01,60236.74,SL,-1.0197,100.9499,2024-07
2024-07-04 01:00:00+00:00,2024-07-04 02:00:00+00:00,short,58633.15,58971.18,SL,-1.0095,99.9404,2024-07
2024-07-05 02:00:00+00:00,2024-07-05 03:00:00+00:00,short,55994.52,55213.27,TP,1.9988,101.9392,2024-07
2024-07-07 04:00:00+00:00,2024-07-07 07:00:00+00:00,short,57616.2,57360.07,TP,2.0388,103.978,2024-07
2024-07-08 16:00:00+00:00,2024-07-08 17:00:00+00:00,short,55790.89,56305.09,SL,-1.0398,102.9382,2024-07
2024-07-10 00:00:00+00:00,2024-07-10 01:00:00+00:00,short,57463.15,57776.16,SL,-1.0294,101.9088,2024-07
2024-07-10 03:00:00+00:00,2024-07-10 04:00:00+00:00,long,58140.62,59288.97,TP,2.0382,103.947,2024-07
2024-07-11 15:00:00+00:00,2024-07-11 16:00:00+00:00,short,57328.77,57647.1,SL,-1.0395,102.9075,2024-07
2024-07-13 22:00:00+00:00,2024-07-13 23:00:00+00:00,long,59444.52,59231.95,SL,-1.0291,101.8785,2024-07
2024-07-14 21:00:00+00:00,2024-07-14 22:00:00+00:00,long,61246.04,60895.91,SL,-1.0188,100.8597,2024-07
2024-07-15 22:00:00+00:00,2024-07-15 23:00:00+00:00,long,64381.21,64870.15,TP,2.0172,102.8769,2024-07
2024-07-16 16:00:00+00:00,2024-07-16 18:00:00+00:00,long,64466.7,64724.8,TP,2.0575,104.9344,2024-07
2024-07-18 05:00:00+00:00,2024-07-18 06:00:00+00:00,long,64761.0,65021.0,TP,2.0987,107.0331,2024-07
2024-07-19 03:00:00+00:00,2024-07-19 05:00:00+00:00,long,64294.06,64155.87,SL,-1.0703,105.9628,2024-07
2024-07-20 18:00:00+00:00,2024-07-20 19:00:00+00:00,long,67519.16,67271.13,SL,-1.0596,104.9031,2024-07
2024-07-21 16:00:00+00:00,2024-07-21 17:00:00+00:00,long,67538.43,66750.09,SL,-1.049,103.8541,2024-07
2024-07-21 20:00:00+00:00,2024-07-21 21:00:00+00:00,long,67753.34,68164.21,TP,2.0771,105.9312,2024-07
