entry_time,exit_time,direction,entry,exit,result,pnl,capital,spread_on
2026-02-27 03:00:00+00:00,2026-02-27 03:40:00+00:00,short,67246.6,67350.7,SL,-1.25,98.75,True
2026-02-27 07:50:00+00:00,2026-02-27 08:45:00+00:00,long,67717.08,68035.87,TP,1.7281,100.4781,True
2026-02-27 14:45:00+00:00,2026-02-27 15:05:00+00:00,short,65960.27,66176.52,SL,-1.256,99.2221,True
2026-02-27 16:10:00+00:00,2026-02-27 16:25:00+00:00,short,65886.87,66012.77,SL,-1.2403,97.9819,True
2026-02-27 18:55:00+00:00,2026-02-27 19:50:00+00:00,short,65299.44,65414.13,SL,-1.2248,96.7571,True
2026-02-27 21:45:00+00:00,2026-02-27 22:35:00+00:00,short,65596.92,65246.38,TP,1.6932,98.4503,True
2026-02-28 00:25:00+00:00,2026-02-28 00:40:00+00:00,short,65761.44,65948.71,SL,-1.2306,97.2197,True
2026-02-28 03:05:00+00:00,2026-02-28 05:30:00+00:00,short,65877.1,65579.09,TP,1.7013,98.9211,True
2026-02-28 05:35:00+00:00,2026-02-28 06:15:00+00:00,short,65593.41,64698.49,TP,1.7311,100.6522,True
2026-02-28 11:45:00+00:00,2026-02-28 13:45:00+00:00,short,64043.73,64205.95,SL,-1.2582,99.394,True
2026-02-28 14:50:00+00:00,2026-02-28 15:20:00+00:00,short,64456.12,64555.23,SL,-1.2424,98.1516,True
2026-02-28 15:45:00+00:00,2026-02-28 16:40:00+00:00,long,64814.82,65129.49,TP,1.7177,99.8693,True
2026-02-28 17:55:00+00:00,2026-02-28 18:15:00+00:00,long,65421.79,65290.8,SL,-1.2484,98.6209,True
2026-02-28 18:30:00+00:00,2026-02-28 18:35:00+00:00,long,65396.56,65711.88,TP,1.7259,100.3468,True
2026-02-28 19:30:00+00:00,2026-02-28 19:50:00+00:00,long,66199.2,66501.69,TP,1.7561,102.1028,True
2026-02-28 22:20:00+00:00,2026-02-28 22:35:00+00:00,long,67077.66,67565.65,TP,1.7868,103.8896,True
2026-03-01 01:40:00+00:00,2026-03-01 01:45:00+00:00,long,66683.41,67060.07,TP,1.8181,105.7077,True
2026-03-01 05:20:00+00:00,2026-03-01 05:45:00+00:00,long,67512.41,67397.32,SL,-1.3213,104.3863,True
2026-03-01 07:15:00+00:00,2026-03-01 08:50:00+00:00,long,67002.11,66581.95,SL,-1.3048,103.0815,True
2026-03-01 12:30:00+00:00,2026-03-01 12:40:00+00:00,short,66375.86,66509.04,SL,-1.2885,101.793,True
2026-03-01 13:20:00+00:00,2026-03-01 13:25:00+00:00,short,66229.31,66332.1,SL,-1.2724,100.5206,True
2026-03-01 15:15:00+00:00,2026-03-01 15:20:00+00:00,long,67189.66,67039.38,SL,-1.2565,99.2641,True
2026-03-01 19:15:00+00:00,2026-03-01 20:10:00+00:00,short,65995.22,65459.47,TP,1.7371,101.0012,True
2026-03-01 22:35:00+00:00,2026-03-01 22:40:00+00:00,short,65175.42,65423.42,SL,-1.2625,99.7387,True
2026-03-02 03:15:00+00:00,2026-03-02 03:35:00+00:00,long,66542.73,66956.55,TP,1.7454,101.4841,True
2026-03-02 05:50:00+00:00,2026-03-02 06:00:00+00:00,long,66871.77,66540.18,SL,-1.2686,100.2156,True
2026-03-02 09:55:00+00:00,2026-03-02 11:45:00+00:00,short,66237.29,66360.2,SL,-1.2527,98.9629,True
2026-03-02 12:20:00+00:00,2026-03-02 13:25:00+00:00,short,66122.14,65821.25,TP,1.7319,100.6947,True
