entry_time,exit_time,direction,entry_fill,exit_fill,result,pnl,capital,risk_pct
2023-04-26 23:35:00+00:00,2023-04-27 00:15:00+00:00,short,28305.87,28597.5,SL,-1.0303,98.9697,1.0
2023-04-27 12:30:00+00:00,2023-04-27 15:20:00+00:00,short,28846.77,29143.98,SL,-1.0197,97.95,1.0
2023-04-27 17:10:00+00:00,2023-04-27 18:40:00+00:00,long,29182.79,29757.52,TP,1.929,99.879,1.0
2023-04-27 21:10:00+00:00,2023-04-27 22:50:00+00:00,long,29761.65,29455.19,SL,-1.0285,98.8506,1.0
2023-04-28 07:10:00+00:00,2023-04-28 08:40:00+00:00,long,29508.18,29204.33,SL,-1.0179,97.8327,1.0
2023-04-28 11:45:00+00:00,2023-04-30 15:00:00+00:00,short,29231.73,29532.9,SL,-1.008,96.8248,1.0
2023-04-30 16:00:00+00:00,2023-04-30 19:05:00+00:00,long,29839.27,29532.01,SL,-0.997,95.8277,1.0
2023-05-01 01:10:00+00:00,2023-05-01 01:50:00+00:00,short,29248.68,28672.31,TP,1.8884,97.7161,1.0
2023-05-01 05:40:00+00:00,2023-05-01 19:15:00+00:00,short,28412.99,27853.09,TP,1.9256,99.6417,1.0
2023-05-01 20:55:00+00:00,2023-05-01 21:30:00+00:00,short,27669.79,27954.87,SL,-1.0266,98.6151,1.0
2023-05-02 03:20:00+00:00,2023-05-02 14:20:00+00:00,short,27944.6,28232.52,SL,-1.016,97.5991,1.0
2023-05-02 17:55:00+00:00,2023-05-03 13:00:00+00:00,long,28592.1,28297.68,SL,-1.005,96.5941,1.0
2023-05-03 14:35:00+00:00,2023-05-03 16:55:00+00:00,short,28177.43,28467.75,SL,-0.9952,95.5989,1.0
2023-05-03 20:40:00+00:00,2023-05-03 21:10:00+00:00,short,28315.23,28606.96,SL,-0.985,94.6139,1.0
2023-05-04 01:55:00+00:00,2023-05-04 13:35:00+00:00,long,29079.39,28779.96,SL,-0.9742,93.6397,1.0
2023-05-04 22:55:00+00:00,2023-05-05 01:30:00+00:00,short,28771.27,29067.7,SL,-0.9648,92.6749,1.0
2023-05-05 11:05:00+00:00,2023-05-06 00:35:00+00:00,long,29113.8,29687.17,TP,1.8251,94.5001,1.0
2023-05-06 06:30:00+00:00,2023-05-06 14:05:00+00:00,short,29296.96,28719.63,TP,1.8622,96.3623,1.0
2023-05-07 11:15:00+00:00,2023-05-08 01:40:00+00:00,short,28770.56,28203.6,TP,1.8989,98.2612,1.0
2023-05-08 03:40:00+00:00,2023-05-08 18:00:00+00:00,short,28082.36,27528.97,TP,1.9363,100.1975,1.0
2023-05-09 04:40:00+00:00,2023-05-10 12:30:00+00:00,short,27589.75,27874.01,SL,-1.0323,99.1652,1.0
2023-05-10 16:15:00+00:00,2023-05-10 17:10:00+00:00,long,28277.59,27986.42,SL,-1.0211,98.1441,1.0
2023-05-11 00:00:00+00:00,2023-05-11 14:50:00+00:00,short,27582.49,27038.95,TP,1.934,100.0781,1.0
