strategy,entry_time,exit_time,direction,entry,exit,result,pnl,capital,month
v1 Original,2026-02-27 03:00:00+00:00,2026-02-27 03:50:00+00:00,short,67246.6,67520.6,SL,-1.0,99.0,2026-02
v1 Original,2026-02-27 07:50:00+00:00,2026-02-27 08:45:00+00:00,long,67717.08,68035.87,TP,1.98,100.98,2026-02
v1 Original,2026-02-27 14:45:00+00:00,2026-02-27 15:05:00+00:00,short,65960.27,66176.52,SL,-1.0098,99.9702,2026-02
v1 Original,2026-02-27 16:10:00+00:00,2026-02-27 16:30:00+00:00,short,65886.87,66046.69,SL,-0.9997,98.9705,2026-02
v1 Original,2026-02-27 18:55:00+00:00,2026-02-27 20:00:00+00:00,short,65299.44,65515.6,SL,-0.9897,97.9808,2026-02
v1 Original,2026-02-27 21:45:00+00:00,2026-02-27 22:35:00+00:00,short,65596.92,65246.38,TP,1.9596,99.9404,2026-02
v1 Original,2026-02-28 00:25:00+00:00,2026-02-28 00:40:00+00:00,short,65761.44,65948.71,SL,-0.9994,98.941,2026-02
v1 Original,2026-02-28 03:05:00+00:00,2026-02-28 04:30:00+00:00,short,65877.1,65595.05,TP,1.9788,100.9198,2026-02
v1 Original,2026-02-28 05:35:00+00:00,2026-02-28 06:15:00+00:00,short,65593.41,64698.49,TP,2.0184,102.9382,2026-02
v1 Original,2026-02-28 11:45:00+00:00,2026-02-28 13:45:00+00:00,short,64043.73,64205.95,SL,-1.0294,101.9088,2026-02
v1 Original,2026-02-28 14:50:00+00:00,2026-02-28 15:25:00+00:00,short,64456.12,64821.32,SL,-1.0191,100.8898,2026-02
v1 Original,2026-02-28 15:45:00+00:00,2026-02-28 16:40:00+00:00,long,64814.82,65129.49,TP,2.0178,102.9075,2026-02
v1 Original,2026-02-28 17:55:00+00:00,2026-02-28 18:15:00+00:00,long,65421.79,65290.8,SL,-1.0291,101.8785,2026-02
v1 Original,2026-02-28 18:30:00+00:00,2026-02-28 18:35:00+00:00,long,65396.56,65711.88,TP,2.0376,103.916,2026-02
v1 Original,2026-02-28 19:30:00+00:00,2026-02-28 19:50:00+00:00,long,66199.2,66501.69,TP,2.0783,105.9944,2026-02
v1 Original,2026-02-28 22:20:00+00:00,2026-02-28 22:35:00+00:00,long,67077.66,67565.65,TP,2.1199,108.1143,2026-02
v1 Original,2026-03-01 01:40:00+00:00,2026-03-01 01:45:00+00:00,long,66683.41,67060.07,TP,2.1623,110.2765,2026-03
v1 Original,2026-03-01 05:20:00+00:00,2026-03-01 05:50:00+00:00,long,67512.41,67349.18,SL,-1.1028,109.1738,2026-03
v1 Original,2026-03-01 07:15:00+00:00,2026-03-01 08:25:00+00:00,long,67002.11,67279.48,TP,2.1835,111.3572,2026-03
v1 Original,2026-03-01 08:50:00+00:00,2026-03-01 09:15:00+00:00,short,66581.95,66715.94,SL,-1.1136,110.2437,2026-03
v1 Original,2026-03-01 12:30:00+00:00,2026-03-01 12:40:00+00:00,short,66375.86,66509.04,SL,-1.1024,109.1412,2026-03
v1 Original,2026-03-01 13:20:00+00:00,2026-03-01 13:40:00+00:00,short,66229.31,66364.55,SL,-1.0914,108.0498,2026-03
v1 Original,2026-03-01 15:15:00+00:00,2026-03-01 15:20:00+00:00,long,67189.66,67039.38,SL,-1.0805,106.9693,2026-03
v1 Original,2026-03-01 19:15:00+00:00,2026-03-01 20:10:00+00:00,short,65995.22,65459.47,TP,2.1394,109.1087,2026-03
v1 Original,2026-03-01 22:35:00+00:00,2026-03-01 22:40:00+00:00,short,65175.42,65423.42,SL,-1.0911,108.0176,2026-03
v1 Original,2026-03-02 03:15:00+00:00,2026-03-02 03:25:00+00:00,long,66542.73,66820.3,TP,2.1604,110.178,2026-03
v1 Original,2026-03-02 05:50:00+00:00,2026-03-02 06:00:00+00:00,long,66871.77,66540.18,SL,-1.1018,109.0762,2026-03
v1 Original,2026-03-02 09:55:00+00:00,2026-03-02 12:45:00+00:00,short,66237.29,65966.16,TP,2.1815,111.2577,2026-03
v1 Original,2026-03-02 20:00:00+00:00,2026-03-02 20:05:00+00:00,long,69186.77,68878.58,SL,-1.1126,110.1451,2026-03
v1 Original,2026-03-02 20:20:00+00:00,2026-03-02 20:45:00+00:00,long,68928.3,69361.53,TP,2.2029,112.348,2026-03
v1 Original,2026-03-03 00:35:00+00:00,2026-03-03 01:15:00+00:00,long,69099.57,68904.14,SL,-1.1235,111.2246,2026-03
