Window,From,To,Trades,Win%,PnL($),Return%,MaxDD%,Final($)
W01,2024-05-06,2024-07-05,43,37.2,4.65,4.7,-6.8,104.65
W02,2024-05-21,2024-07-20,43,34.9,1.58,1.6,-6.8,101.58
W03,2024-06-05,2024-08-04,43,34.9,1.58,1.6,-5.9,101.58
W04,2024-06-20,2024-08-19,39,43.6,12.25,12.2,-4.9,112.25
W05,2024-07-05,2024-09-03,42,38.1,5.71,5.7,-4.9,105.71
W06,2024-07-20,2024-09-18,40,35.0,1.61,1.6,-7.8,101.61
W07,2024-08-04,2024-10-03,40,37.5,4.68,4.7,-7.8,104.68
W08,2024-08-19,2024-10-18,44,27.3,-8.06,-8.1,-11.4,91.94
W09,2024-09-03,2024-11-02,46,28.3,-7.15,-7.2,-13.2,92.85
W10,2024-09-18,2024-11-17,51,35.3,2.51,2.5,-13.2,102.51
W11,2024-10-03,2024-12-02,54,29.6,-6.3,-6.3,-12.3,93.7
W12,2024-10-18,2024-12-17,58,34.5,1.42,1.4,-7.0,101.42
W13,2024-11-02,2025-01-01,58,39.7,10.93,10.9,-8.8,110.93
W14,2024-11-17,2025-01-16,59,39.0,9.82,9.8,-8.8,109.82
W15,2024-12-02,2025-01-31,57,43.9,18.94,18.9,-6.8,118.94
W16,2024-12-17,2025-02-15,56,42.9,16.61,16.6,-6.9,116.61
W17,2025-01-01,2025-03-02,58,39.7,10.93,10.9,-8.8,110.93
W18,2025-01-16,2025-03-17,50,38.0,6.68,6.7,-8.8,106.68
W19,2025-01-31,2025-04-01,49,32.7,-1.47,-1.5,-7.8,98.53
W20,2025-02-15,2025-04-16,46,37.0,4.62,4.6,-7.8,104.62
W21,2025-03-02,2025-05-01,46,37.0,4.62,4.6,-7.8,104.62
W22,2025-03-17,2025-05-16,54,35.2,2.48,2.5,-6.8,102.48
W23,2025-04-01,2025-05-31,54,37.0,5.58,5.6,-6.8,105.58
W24,2025-04-16,2025-06-15,59,37.3,6.59,6.6,-6.9,106.59
W25,2025-05-01,2025-06-30,58,37.9,7.66,7.7,-6.9,107.66
W26,2025-05-16,2025-07-15,50,44.0,16.68,16.7,-6.9,116.68
W27,2025-05-31,2025-07-30,54,42.6,15.48,15.5,-5.9,115.48
W28,2025-06-15,2025-08-14,52,44.2,17.82,17.8,-7.8,117.82
W29,2025-06-30,2025-08-29,53,41.5,13.21,13.2,-7.8,113.21
W30,2025-07-15,2025-09-13,62,33.9,0.38,0.4,-8.7,100.38
W31,2025-07-30,2025-09-28,57,33.3,-0.56,-0.6,-8.7,99.44
W32,2025-08-14,2025-10-13,54,33.3,-0.54,-0.5,-8.7,99.46
W33,2025-08-29,2025-10-29,54,40.7,12.08,12.1,-7.8,112.08
W34,2025-09-13,2025-11-13,53,39.6,9.88,9.9,-7.8,109.88
W35,2025-09-28,2025-11-28,52,40.4,10.99,11.0,-8.8,110.99
W36,2025-10-13,2025-12-14,45,40.0,8.88,8.9,-8.8,108.88
W37,2025-10-29,2025-12-29,50,32.0,-2.46,-2.5,-8.6,97.54
W38,2025-11-13,2026-01-13,53,37.7,6.65,6.7,-8.6,106.65
W39,2025-11-28,2026-01-28,56,42.9,16.61,16.6,-8.6,116.61
W40,2025-12-14,2026-02-12,64,43.8,21.25,21.2,-8.6,121.25
W41,2025-12-29,2026-02-27,59,44.1,20.11,20.1,-5.9,120.11
W42,2026-01-13,2026-03-14,58,44.8,21.32,21.3,-5.9,121.32
W43,2026-01-28,2026-03-29,55,43.6,17.79,17.8,-5.9,117.79
W44,2026-02-12,2026-04-13,53,43.4,16.64,16.6,-5.9,116.64
