entry_time,exit_time,direction,entry_fill,exit_fill,result,pnl,capital,risk_pct
2023-04-26 23:35:00+00:00,2023-04-27 00:10:00+00:00,short,28311.53,28455.93,SL,-1.0201,98.9799,1.0
2023-04-27 12:30:00+00:00,2023-04-27 14:00:00+00:00,short,28852.54,28999.71,SL,-1.0097,97.9702,1.0
2023-04-27 17:10:00+00:00,2023-04-27 18:20:00+00:00,long,29176.96,29465.78,TP,1.9396,99.9098,1.0
2023-04-27 21:10:00+00:00,2023-04-27 21:45:00+00:00,long,29755.7,29603.96,SL,-1.019,98.8908,1.0
2023-04-28 07:10:00+00:00,2023-04-28 08:30:00+00:00,long,29502.28,29351.83,SL,-1.0086,97.8823,1.0
2023-04-28 11:45:00+00:00,2023-04-28 19:00:00+00:00,short,29237.58,29386.7,SL,-0.9985,96.8838,1.0
2023-04-28 22:10:00+00:00,2023-04-29 00:50:00+00:00,long,29383.67,29233.83,SL,-0.9881,95.8956,1.0
2023-04-29 04:20:00+00:00,2023-04-29 10:30:00+00:00,long,29405.6,29255.65,SL,-0.978,94.9176,1.0
2023-04-29 11:00:00+00:00,2023-04-30 14:55:00+00:00,short,29243.07,29392.22,SL,-0.9683,93.9493,1.0
2023-04-30 16:00:00+00:00,2023-04-30 16:25:00+00:00,long,29833.3,29681.17,SL,-0.9582,92.9912,1.0
2023-05-01 01:10:00+00:00,2023-05-01 01:35:00+00:00,short,29254.53,28964.89,TP,1.8414,94.8326,1.0
2023-05-01 05:40:00+00:00,2023-05-01 06:45:00+00:00,short,28418.68,28563.63,SL,-0.9674,93.8652,1.0
2023-05-01 09:40:00+00:00,2023-05-01 15:20:00+00:00,short,28551.98,28269.29,TP,1.8587,95.7239,1.0
2023-05-01 18:15:00+00:00,2023-05-01 19:15:00+00:00,short,28193.02,27913.88,TP,1.8955,97.6194,1.0
2023-05-01 20:55:00+00:00,2023-05-01 21:00:00+00:00,short,27675.32,27816.48,SL,-0.9958,96.6236,1.0
2023-05-02 03:20:00+00:00,2023-05-02 07:20:00+00:00,short,27950.19,28092.75,SL,-0.9857,95.6379,1.0
2023-05-02 17:55:00+00:00,2023-05-03 02:05:00+00:00,long,28586.38,28440.6,SL,-0.9754,94.6625,1.0
2023-05-03 08:30:00+00:00,2023-05-03 10:55:00+00:00,long,28744.19,28597.61,SL,-0.9655,93.6971,1.0
2023-05-03 14:35:00+00:00,2023-05-03 16:20:00+00:00,short,28183.07,28326.82,SL,-0.9558,92.7413,1.0
2023-05-03 20:40:00+00:00,2023-05-03 20:50:00+00:00,short,28320.9,28465.35,SL,-0.9461,91.7952,1.0
2023-05-04 01:55:00+00:00,2023-05-04 13:15:00+00:00,long,29073.58,28925.32,SL,-0.9362,90.859,1.0
2023-05-04 22:55:00+00:00,2023-05-05 00:35:00+00:00,short,28777.02,28923.8,SL,-0.9269,89.9321,1.0
2023-05-05 11:05:00+00:00,2023-05-05 12:30:00+00:00,long,29107.98,28959.54,SL,-0.9172,89.0149,1.0
