entry_time,exit_time,direction,entry_fill,exit_fill,result,pnl,capital,risk_pct
2023-04-26 23:35:00+00:00,2023-04-27 00:15:00+00:00,short,28311.53,28597.5,SL,-1.0101,98.9899,1.0
2023-04-27 12:30:00+00:00,2023-04-27 15:20:00+00:00,short,28852.54,29143.98,SL,-0.9999,97.99,1.0
2023-04-27 17:10:00+00:00,2023-04-27 18:40:00+00:00,long,29176.96,29757.52,TP,1.9498,99.9398,1.0
2023-04-27 21:10:00+00:00,2023-04-27 22:50:00+00:00,long,29755.7,29455.19,SL,-1.0093,98.9305,1.0
2023-04-28 07:10:00+00:00,2023-04-28 09:05:00+00:00,long,29502.28,29204.34,SL,-0.9991,97.9314,1.0
2023-04-28 11:45:00+00:00,2023-04-30 15:00:00+00:00,short,29237.58,29532.9,SL,-0.9892,96.9422,1.0
2023-04-30 16:00:00+00:00,2023-04-30 19:05:00+00:00,long,29833.3,29532.02,SL,-0.979,95.9632,1.0
2023-05-01 01:10:00+00:00,2023-05-01 01:50:00+00:00,short,29254.53,28672.31,TP,1.9099,97.8731,1.0
2023-05-01 05:40:00+00:00,2023-05-01 19:15:00+00:00,short,28418.68,27853.09,TP,1.9479,99.8209,1.0
2023-05-01 20:55:00+00:00,2023-05-01 21:30:00+00:00,short,27675.32,27954.87,SL,-1.0083,98.8126,1.0
2023-05-02 03:20:00+00:00,2023-05-02 14:20:00+00:00,short,27950.19,28232.52,SL,-0.9981,97.8145,1.0
2023-05-02 17:55:00+00:00,2023-05-03 13:00:00+00:00,long,28586.38,28297.68,SL,-0.9878,96.8267,1.0
2023-05-03 14:35:00+00:00,2023-05-03 16:55:00+00:00,short,28183.07,28467.75,SL,-0.978,95.8487,1.0
2023-05-03 20:40:00+00:00,2023-05-03 21:10:00+00:00,short,28320.9,28606.97,SL,-0.9682,94.8805,1.0
2023-05-04 01:55:00+00:00,2023-05-04 13:35:00+00:00,long,29073.58,28779.96,SL,-0.9582,93.9223,1.0
2023-05-04 22:55:00+00:00,2023-05-05 01:30:00+00:00,short,28777.02,29067.7,SL,-0.9487,92.9736,1.0
2023-05-05 11:05:00+00:00,2023-05-06 00:35:00+00:00,long,29107.98,29687.17,TP,1.85,94.8236,1.0
2023-05-06 06:30:00+00:00,2023-05-06 14:05:00+00:00,short,29302.82,28719.63,TP,1.8872,96.7107,1.0
2023-05-07 11:15:00+00:00,2023-05-08 01:40:00+00:00,short,28776.31,28203.61,TP,1.9247,98.6355,1.0
2023-05-08 03:40:00+00:00,2023-05-08 18:00:00+00:00,short,28087.98,27528.97,TP,1.963,100.5985,1.0
2023-05-09 04:40:00+00:00,2023-05-10 12:30:00+00:00,short,27595.27,27874.01,SL,-1.0161,99.5824,1.0
2023-05-10 16:15:00+00:00,2023-05-10 17:10:00+00:00,long,28271.94,27986.42,SL,-1.0057,98.5767,1.0
2023-05-11 00:00:00+00:00,2023-05-11 14:50:00+00:00,short,27588.01,27038.95,TP,1.9619,100.5386,1.0
2023-05-11 17:00:00+00:00,2023-05-12 05:50:00+00:00,short,27088.52,26549.41,TP,2.0009,102.5395,1.0
2023-05-12 16:50:00+00:00,2023-05-12 21:00:00+00:00,short,26265.0,26530.31,SL,-1.0358,101.5037,1.0
2023-05-12 23:55:00+00:00,2023-05-15 05:50:00+00:00,long,26797.69,27330.91,TP,2.0197,103.5235,1.0
