entry_time,exit_time,direction,entry_fill,exit_fill,result,pnl,capital,risk_pct
2023-04-26 23:35:00+00:00,2023-04-27 00:15:00+00:00,short,28311.53,28597.5,SL,-1.0101,98.9899,1.0
2023-04-27 12:30:00+00:00,2023-04-27 15:20:00+00:00,short,28852.54,29143.98,SL,-0.9999,97.99,1.0
2023-04-27 17:10:00+00:00,2023-05-01 01:35:00+00:00,long,29176.96,28882.3,SL,-0.9896,97.0004,1.0
2023-05-01 05:40:00+00:00,2023-05-01 20:55:00+00:00,short,28418.68,27710.98,TP,2.4156,99.416,1.0
2023-05-02 03:20:00+00:00,2023-05-02 14:20:00+00:00,short,27950.19,28232.52,SL,-1.0042,98.4118,1.0
2023-05-02 17:55:00+00:00,2023-05-03 13:00:00+00:00,long,28586.38,28297.68,SL,-0.9939,97.4179,1.0
2023-05-03 14:35:00+00:00,2023-05-03 16:55:00+00:00,short,28183.07,28467.75,SL,-0.984,96.4339,1.0
2023-05-03 20:40:00+00:00,2023-05-03 21:10:00+00:00,short,28320.9,28606.97,SL,-0.9741,95.4598,1.0
2023-05-04 01:55:00+00:00,2023-05-04 13:35:00+00:00,long,29073.58,28779.96,SL,-0.964,94.4957,1.0
2023-05-04 22:55:00+00:00,2023-05-05 01:30:00+00:00,short,28777.02,29067.7,SL,-0.9545,93.5412,1.0
2023-05-05 11:05:00+00:00,2023-05-06 14:05:00+00:00,long,29107.98,28814.02,SL,-0.9447,92.5966,1.0
2023-05-07 11:15:00+00:00,2023-05-08 07:45:00+00:00,short,28776.31,28059.71,TP,2.3059,94.9025,1.0
2023-05-08 14:05:00+00:00,2023-05-10 12:45:00+00:00,short,27776.08,28056.65,SL,-0.9586,93.9439,1.0
2023-05-10 16:15:00+00:00,2023-05-10 17:10:00+00:00,long,28271.94,27986.42,SL,-0.9487,92.9951,1.0
2023-05-11 00:00:00+00:00,2023-05-11 17:20:00+00:00,short,27588.01,26901.0,TP,2.3158,95.3109,1.0
2023-05-11 19:35:00+00:00,2023-05-12 19:25:00+00:00,short,26792.26,26125.07,TP,2.3735,97.6844,1.0
2023-05-12 23:55:00+00:00,2023-05-15 06:25:00+00:00,long,26797.69,27464.88,TP,2.4321,100.1165,1.0
2023-05-15 09:00:00+00:00,2023-05-15 23:55:00+00:00,long,27455.22,27177.95,SL,-1.0111,99.1054,1.0
2023-05-16 01:15:00+00:00,2023-05-17 19:45:00+00:00,short,27127.86,27401.88,SL,-1.0011,98.1044,1.0
2023-05-17 23:05:00+00:00,2023-05-18 15:55:00+00:00,long,27390.73,27114.11,SL,-0.9908,97.1136,1.0
2023-05-18 17:35:00+00:00,2023-05-20 17:50:00+00:00,short,26808.35,27079.14,SL,-0.9809,96.1327,1.0
2023-05-21 00:40:00+00:00,2023-05-21 11:50:00+00:00,long,27113.95,26840.13,SL,-0.9708,95.1618,1.0
2023-05-21 17:45:00+00:00,2023-05-23 02:55:00+00:00,short,26842.14,27113.27,SL,-0.9612,94.2006,1.0
2023-05-23 20:30:00+00:00,2023-05-24 13:50:00+00:00,short,27151.25,26475.12,TP,2.3458,96.5464,1.0
2023-05-24 16:40:00+00:00,2023-05-25 19:10:00+00:00,short,26188.68,26453.21,SL,-0.9752,95.5712,1.0
2023-05-25 23:05:00+00:00,2023-05-28 03:35:00+00:00,long,26481.97,27141.3,TP,2.3795,97.9507,1.0
