entry_time,exit_time,direction,entry_fill,exit_fill,result,pnl,capital,risk_pct
2023-04-26 23:35:00+00:00,2023-04-27 00:15:00+00:00,short,28311.53,28597.5,SL,-1.0101,98.9899,1.0
2023-04-27 12:30:00+00:00,2023-04-27 15:20:00+00:00,short,28852.54,29143.98,SL,-0.9999,97.99,1.0
2023-04-27 17:10:00+00:00,2023-05-01 01:35:00+00:00,long,29176.96,28882.3,SL,-0.9896,97.0004,1.0
2023-05-01 05:40:00+00:00,2023-05-01 20:55:00+00:00,short,28418.68,27710.98,TP,2.4156,99.416,1.0
2023-05-02 04:25:00+00:00,2023-05-02 14:20:00+00:00,short,27973.36,28255.92,SL,-1.0042,98.4118,1.0
2023-05-04 01:55:00+00:00,2023-05-04 13:35:00+00:00,long,29073.58,28779.96,SL,-0.9939,97.4179,1.0
2023-05-05 11:05:00+00:00,2023-05-06 14:05:00+00:00,long,29107.98,28814.02,SL,-0.9838,96.4341,1.0
2023-05-07 11:15:00+00:00,2023-05-08 07:45:00+00:00,short,28776.31,28059.71,TP,2.4015,98.8355,1.0
2023-05-08 14:05:00+00:00,2023-05-10 12:45:00+00:00,short,27776.08,28056.65,SL,-0.9983,97.8372,1.0
2023-05-11 00:00:00+00:00,2023-05-11 17:20:00+00:00,short,27588.01,26901.0,TP,2.4364,100.2736,1.0
2023-05-11 19:35:00+00:00,2023-05-12 19:25:00+00:00,short,26792.26,26125.07,TP,2.4971,102.7706,1.0
2023-05-13 00:55:00+00:00,2023-05-15 17:00:00+00:00,long,26841.67,27509.96,TP,2.5587,105.3294,1.0
2023-05-16 12:35:00+00:00,2023-05-17 19:10:00+00:00,short,27000.65,27273.38,SL,-1.0639,104.2654,1.0
2023-05-17 23:05:00+00:00,2023-05-18 15:55:00+00:00,long,27390.73,27114.11,SL,-1.053,103.2125,1.0
2023-05-19 09:10:00+00:00,2023-05-20 17:55:00+00:00,short,26856.53,27127.81,SL,-1.0425,102.1699,1.0
2023-05-21 03:40:00+00:00,2023-05-21 11:00:00+00:00,long,27182.72,26908.2,SL,-1.0318,101.1381,1.0
2023-05-21 23:55:00+00:00,2023-05-22 13:40:00+00:00,short,26745.11,27015.26,SL,-1.0216,100.1165,1.0
2023-05-23 01:25:00+00:00,2023-05-24 06:45:00+00:00,long,26979.63,26707.16,SL,-1.0111,99.1054,1.0
2023-05-24 18:25:00+00:00,2023-05-25 19:10:00+00:00,short,26237.21,26502.23,SL,-1.0011,98.1044,1.0
2023-05-25 23:05:00+00:00,2023-05-28 03:35:00+00:00,long,26481.97,27141.3,TP,2.4426,100.5469,1.0
2023-05-28 06:05:00+00:00,2023-05-28 22:00:00+00:00,long,27198.75,27875.93,TP,2.5034,103.0503,1.0
2023-05-29 18:45:00+00:00,2023-05-30 03:15:00+00:00,short,27635.03,27914.17,SL,-1.0409,102.0094,1.0
2023-05-31 08:45:00+00:00,2023-06-05 15:30:00+00:00,short,27128.07,26452.51,TP,2.5403,104.5497,1.0
2023-06-05 21:20:00+00:00,2023-06-05 23:25:00+00:00,short,25544.08,25802.1,SL,-1.0561,103.4936,1.0
2023-06-07 21:50:00+00:00,2023-06-08 14:30:00+00:00,short,26293.17,26558.76,SL,-1.0454,102.4482,1.0
2023-06-09 04:20:00+00:00,2023-06-09 13:10:00+00:00,short,26432.28,26699.27,SL,-1.0348,101.4134,1.0
