strategy,entry_time,exit_time,direction,entry,exit,result,pnl,capital
S1. EMA 9/21 + Volume,2023-04-27 12:30:00+00:00,2023-04-27 12:35:00+00:00,short,28855.43,28734.69,TP ✅,2.0,102.0
S1. EMA 9/21 + Volume,2023-04-27 14:00:00+00:00,2023-04-27 15:20:00+00:00,long,29017.9,29407.79,TP ✅,2.04,104.04
S1. EMA 9/21 + Volume,2023-04-28 00:55:00+00:00,2023-04-28 01:10:00+00:00,long,29554.25,29478.66,SL ❌,-1.0404,102.9996
S1. EMA 9/21 + Volume,2023-04-28 06:20:00+00:00,2023-04-28 07:10:00+00:00,short,29432.92,29499.33,SL ❌,-1.03,101.9696
S1. EMA 9/21 + Volume,2023-04-28 10:35:00+00:00,2023-04-28 10:55:00+00:00,long,29340.02,29262.33,SL ❌,-1.0197,100.9499
S1. EMA 9/21 + Volume,2023-04-28 13:40:00+00:00,2023-04-28 13:55:00+00:00,short,28950.09,29029.48,SL ❌,-1.0095,99.9404
S1. EMA 9/21 + Volume,2023-04-28 23:20:00+00:00,2023-04-29 02:50:00+00:00,short,29310.3,29381.6,SL ❌,-0.9994,98.941
S1. EMA 9/21 + Volume,2023-04-29 19:25:00+00:00,2023-04-29 21:30:00+00:00,long,29248.33,29187.83,SL ❌,-0.9894,97.9516
S1. EMA 9/21 + Volume,2023-04-29 23:55:00+00:00,2023-04-30 00:50:00+00:00,long,29230.45,29167.47,SL ❌,-0.9795,96.9721
S1. EMA 9/21 + Volume,2023-04-30 08:25:00+00:00,2023-04-30 10:40:00+00:00,long,29290.55,29222.15,SL ❌,-0.9697,96.0024
S1. EMA 9/21 + Volume,2023-04-30 18:00:00+00:00,2023-04-30 18:10:00+00:00,short,29571.11,29654.38,SL ❌,-0.96,95.0423
S1. EMA 9/21 + Volume,2023-05-01 05:30:00+00:00,2023-05-01 06:50:00+00:00,short,28517.57,28575.16,SL ❌,-0.9504,94.0919
S1. EMA 9/21 + Volume,2023-05-01 09:20:00+00:00,2023-05-01 09:40:00+00:00,long,28642.44,28554.84,SL ❌,-0.9409,93.151
S1. EMA 9/21 + Volume,2023-05-01 13:45:00+00:00,2023-05-01 15:10:00+00:00,short,28516.74,28382.8,TP ✅,1.863,95.014
S1. EMA 9/21 + Volume,2023-05-02 01:45:00+00:00,2023-05-02 07:10:00+00:00,short,27993.37,28077.61,SL ❌,-0.9501,94.0639
S1. EMA 9/21 + Volume,2023-05-02 13:35:00+00:00,2023-05-02 14:15:00+00:00,short,27984.72,28135.03,SL ❌,-0.9406,93.1232
S1. EMA 9/21 + Volume,2023-05-02 14:20:00+00:00,2023-05-02 14:25:00+00:00,long,28263.91,28495.23,TP ✅,1.8625,94.9857
S1. EMA 9/21 + Volume,2023-05-03 04:40:00+00:00,2023-05-03 06:30:00+00:00,short,28476.49,28588.98,SL ❌,-0.9499,94.0358
S1. EMA 9/21 + Volume,2023-05-03 20:55:00+00:00,2023-05-03 21:15:00+00:00,long,28518.72,28706.53,TP ✅,1.8807,95.9166
S1. EMA 9/21 + Volume,2023-05-04 01:45:00+00:00,2023-05-04 02:00:00+00:00,long,29057.03,29190.04,TP ✅,1.9183,97.8349
S1. EMA 9/21 + Volume,2023-05-04 12:35:00+00:00,2023-05-04 13:15:00+00:00,short,29076.83,28872.79,TP ✅,1.9567,99.7916
S1. EMA 9/21 + Volume,2023-05-05 04:15:00+00:00,2023-05-05 06:45:00+00:00,long,29227.09,29167.98,SL ❌,-0.9979,98.7937
S1. EMA 9/21 + Volume,2023-05-05 12:30:00+00:00,2023-05-05 12:45:00+00:00,short,28918.73,29053.33,SL ❌,-0.9879,97.8057
S1. EMA 9/21 + Volume,2023-05-05 19:50:00+00:00,2023-05-05 22:45:00+00:00,long,29514.69,29643.43,TP ✅,1.9561,99.7618
S1. EMA 9/21 + Volume,2023-05-06 08:00:00+00:00,2023-05-06 08:05:00+00:00,short,29172.54,29249.97,SL ❌,-0.9976,98.7642
S1. EMA 9/21 + Volume,2023-05-06 20:05:00+00:00,2023-05-06 20:15:00+00:00,short,28793.82,28856.62,SL ❌,-0.9876,97.7766
S1. EMA 9/21 + Volume,2023-05-07 00:45:00+00:00,2023-05-07 01:05:00+00:00,long,28907.73,28838.25,SL ❌,-0.9778,96.7988
S1. EMA 9/21 + Volume,2023-05-07 08:35:00+00:00,2023-05-07 12:40:00+00:00,short,28864.69,28926.91,SL ❌,-0.968,95.8308
S1. EMA 9/21 + Volume,2023-05-07 17:05:00+00:00,2023-05-07 17:35:00+00:00,long,28982.74,28920.0,SL ❌,-0.9583,94.8725
S1. EMA 9/21 + Volume,2023-05-08 12:05:00+00:00,2023-05-08 13:00:00+00:00,short,27874.9,27743.88,TP ✅,1.8975,96.77
S1. EMA 9/21 + Volume,2023-05-09 00:30:00+00:00,2023-05-09 01:05:00+00:00,short,27575.69,27646.44,SL ❌,-0.9677,95.8023
S1. EMA 9/21 + Volume,2023-05-09 01:25:00+00:00,2023-05-09 02:15:00+00:00,long,27678.26,27579.02,SL ❌,-0.958,94.8443
S1. EMA 9/21 + Volume,2023-05-09 11:10:00+00:00,2023-05-09 11:30:00+00:00,short,27561.73,27620.85,SL ❌,-0.9484,93.8958
S1. EMA 9/21 + Volume,2023-05-10 17:10:00+00:00,2023-05-10 17:15:00+00:00,short,27878.28,27216.9,TP ✅,1.8779,95.7737
S1. EMA 9/21 + Volume,2023-05-10 21:20:00+00:00,2023-05-10 21:25:00+00:00,short,27389.21,27539.42,SL ❌,-0.9577,94.816
S1. EMA 9/21 + Volume,2023-05-11 07:55:00+00:00,2023-05-11 12:05:00+00:00,short,27450.07,27520.93,SL ❌,-0.9482,93.8678
S1. EMA 9/21 + Volume,2023-05-11 12:45:00+00:00,2023-05-11 13:50:00+00:00,short,27420.23,27273.67,TP ✅,1.8774,95.7452
S1. EMA 9/21 + Volume,2023-05-11 22:40:00+00:00,2023-05-11 23:05:00+00:00,short,26937.25,26820.01,TP ✅,1.9149,97.6601
S1. EMA 9/21 + Volume,2023-05-11 23:45:00+00:00,2023-05-11 23:55:00+00:00,long,27022.96,26968.62,SL ❌,-0.9766,96.6835
