strategy,entry_time,exit_time,direction,entry,exit,result,risk_used,pnl,capital,streak
U1. Triple EMA + MACD,2026-02-26 20:00:00+00:00,2026-02-26 20:25:00+00:00,long,67783.77,67613.7,SL ❌,1.0,-1.0,99.0,-1
U1. Triple EMA + MACD,2026-02-28 15:55:00+00:00,2026-02-28 17:15:00+00:00,long,64862.44,64933.91,SL ❌,0.99,-0.99,98.01,-2
U1. Triple EMA + MACD,2026-02-28 18:30:00+00:00,2026-02-28 18:35:00+00:00,long,65396.56,65711.88,TP ✅,0.49,1.2251,99.2351,1
U1. Triple EMA + MACD,2026-02-28 19:30:00+00:00,2026-02-28 20:00:00+00:00,long,66199.2,66277.8,SL ❌,0.9924,-0.9924,98.2428,-1
U1. Triple EMA + MACD,2026-03-03 18:25:00+00:00,2026-03-03 19:05:00+00:00,long,68566.45,68421.19,SL ❌,0.9824,-0.9824,97.2603,-2
U1. Triple EMA + MACD,2026-03-06 13:55:00+00:00,2026-03-06 14:10:00+00:00,short,69358.98,68742.54,TP ✅,0.4863,1.2158,98.4761,1
U1. Triple EMA + MACD,2026-03-07 11:15:00+00:00,2026-03-07 11:45:00+00:00,long,68142.19,68075.27,SL ❌,0.9848,-0.9848,97.4913,-1
U1. Triple EMA + MACD,2026-03-07 16:20:00+00:00,2026-03-07 17:20:00+00:00,short,67838.82,67918.02,SL ❌,0.9749,-0.9749,96.5164,-2
U1. Triple EMA + MACD,2026-03-08 13:10:00+00:00,2026-03-08 13:50:00+00:00,short,67037.69,67178.28,SL ❌,0.4826,-0.4826,96.0338,-3
U1. Triple EMA + MACD,2026-03-08 18:10:00+00:00,2026-03-08 19:10:00+00:00,short,66959.27,66987.02,BE 〰,0.4802,0.0,96.0338,0
U1. Triple EMA + MACD,2026-03-08 20:35:00+00:00,2026-03-08 20:40:00+00:00,long,67480.87,67388.06,SL ❌,0.9603,-0.9603,95.0735,-1
U1. Triple EMA + MACD,2026-03-10 09:25:00+00:00,2026-03-10 09:35:00+00:00,long,71225.74,71105.35,SL ❌,0.9507,-0.9507,94.1228,-2
U1. Triple EMA + MACD,2026-03-11 20:05:00+00:00,2026-03-11 20:55:00+00:00,short,70527.77,70665.5,SL ❌,0.4706,-0.4706,93.6522,-3
U1. Triple EMA + MACD,2026-03-12 14:25:00+00:00,2026-03-12 14:40:00+00:00,short,70036.86,69453.7,TP ✅,0.4683,1.1707,94.8228,1
U1. Triple EMA + MACD,2026-03-13 12:45:00+00:00,2026-03-13 12:50:00+00:00,long,72852.18,72702.68,SL ❌,0.9482,-0.9482,93.8746,-1
U1. Triple EMA + MACD,2026-03-15 20:25:00+00:00,2026-03-15 20:30:00+00:00,short,71451.88,71646.09,SL ❌,0.9387,-0.9387,92.9358,-2
U1. Triple EMA + MACD,2026-03-16 12:25:00+00:00,2026-03-16 12:30:00+00:00,long,73783.45,74002.42,TP ✅,0.4647,1.1617,94.0975,1
U1. Triple EMA + MACD,2026-03-18 14:25:00+00:00,2026-03-18 14:35:00+00:00,short,71651.88,71811.43,SL ❌,0.941,-0.941,93.1566,-1
U1. Triple EMA + MACD,2026-03-21 20:20:00+00:00,2026-03-21 21:00:00+00:00,long,70455.83,70415.17,SL ❌,0.9316,-0.9316,92.225,-2
U1. Triple EMA + MACD,2026-03-22 10:40:00+00:00,2026-03-22 11:10:00+00:00,short,68616.57,68667.04,SL ❌,0.4611,-0.4611,91.7639,-3
U1. Triple EMA + MACD,2026-03-22 11:25:00+00:00,2026-03-22 11:50:00+00:00,short,68422.95,68252.08,TP ✅,0.4588,1.147,92.9109,1
U1. Triple EMA + MACD,2026-03-22 15:10:00+00:00,2026-03-22 15:35:00+00:00,long,68890.62,68756.6,SL ❌,0.9291,-0.9291,91.9818,-1
U1. Triple EMA + MACD,2026-03-22 17:35:00+00:00,2026-03-22 18:35:00+00:00,short,68699.15,68455.22,TP ✅,0.9198,2.2995,94.2814,1
U1. Triple EMA + MACD,2026-03-24 20:20:00+00:00,2026-03-24 20:30:00+00:00,long,69833.77,70152.36,TP ✅,0.9428,2.357,96.6384,2
U1. Triple EMA + MACD,2026-03-25 18:55:00+00:00,2026-03-25 19:05:00+00:00,short,70758.75,70888.4,SL ❌,1.4496,-1.4496,95.1888,-1
U1. Triple EMA + MACD,2026-03-25 20:00:00+00:00,2026-03-25 20:40:00+00:00,short,70733.35,70892.05,SL ❌,0.9519,-0.9519,94.2369,-2
U1. Triple EMA + MACD,2026-03-26 09:30:00+00:00,2026-03-26 10:20:00+00:00,short,69518.16,69652.8,SL ❌,0.4712,-0.4712,93.7657,-3
U1. Triple EMA + MACD,2026-03-27 10:35:00+00:00,2026-03-27 10:55:00+00:00,short,67025.74,66486.01,TP ✅,0.4688,1.1721,94.9378,1
U1. Triple EMA + MACD,2026-03-27 20:55:00+00:00,2026-03-27 22:05:00+00:00,long,65980.79,65936.7,BE 〰,0.9494,0.0,94.9378,1
U1. Triple EMA + MACD,2026-03-28 15:30:00+00:00,2026-03-28 16:00:00+00:00,long,67024.87,66916.07,SL ❌,0.9494,-0.9494,93.9884,-1
U1. Triple EMA + MACD,2026-03-29 19:45:00+00:00,2026-03-29 20:05:00+00:00,short,66360.59,66425.31,SL ❌,0.9399,-0.9399,93.0485,-2
U1. Triple EMA + MACD,2026-03-30 13:20:00+00:00,2026-03-30 13:25:00+00:00,long,68039.06,67884.31,SL ❌,0.4652,-0.4652,92.5833,-3
U1. Triple EMA + MACD,2026-04-01 12:25:00+00:00,2026-04-01 13:00:00+00:00,short,68495.72,68254.84,TP ✅,0.4629,1.1573,93.7406,1
U1. Triple EMA + MACD,2026-04-02 16:40:00+00:00,2026-04-02 17:00:00+00:00,long,67148.41,66879.77,SL ❌,0.9374,-0.9374,92.8032,-1
U1. Triple EMA + MACD,2026-04-02 17:15:00+00:00,2026-04-02 17:30:00+00:00,long,67384.45,67066.07,SL ❌,0.928,-0.928,91.8752,-2
U1. Triple EMA + MACD,2026-04-02 20:35:00+00:00,2026-04-02 20:45:00+00:00,long,67084.67,66977.45,SL ❌,0.4594,-0.4594,91.4158,-3
U1. Triple EMA + MACD,2026-04-04 10:40:00+00:00,2026-04-04 10:50:00+00:00,long,67030.56,67148.18,TP ✅,0.4571,1.1427,92.5585,1
U1. Triple EMA + MACD,2026-04-04 19:05:00+00:00,2026-04-04 19:25:00+00:00,long,67409.79,67360.95,SL ❌,0.9256,-0.9256,91.6329,-1
