ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
893762243,2025-07-18T17:02:42.964000,2025-07-18T17:17:36.032000,sell,3,3.0,BTCUSDm,117364.88,117718.29000000001,,,0,0,-1060.23,,,user
893769143,2025-07-18T16:03:34.668000,2025-07-18T16:04:21.158000,buy,3,3.0,BTCUSDm,118057.61,117920.95,117920.95,118529.73,0,0,-409.98,,,sl
892780012,2025-07-18T14:42:06.974000,2025-07-18T14:43:15.600000,sell,3,3.0,BTCUSDm,117358.31,117656.09,117656.09,116727.72,0,0,-893.34,,,sl
893628808,2025-07-18T14:18:23.297000,2025-07-18T14:39:12.878000,sell,1,1.0,BTCUSDm,118396.52,117596.38,118591.19,117596.38,0,0,800.14,,,tp
892915144,2025-07-17T21:15:03.230000,2025-07-17T22:50:41.476000,buy,1,1.0,BTCUSDm,120250,119950,119950,121150,0,0,-300,,,sl
892780411,2025-07-17T15:33:16.593000,2025-07-17T18:23:36.921000,buy,0.01,0.01,BTCUSDm,118652.4,119728.75,,,0,0,10.77,,,user
892808529,2025-07-17T17:48:49.660000,2025-07-17T18:23:36.906000,buy,4,4.0,BTCUSDm,119122.27,119728.75,118883.79,119869.09,0,0,2425.92,,,user
890290898,2025-07-15T14:52:02.605000,2025-07-17T15:41:40.316000,sell,0.01,0.01,BTCUSDm,116436.71,119052.35,,,0,0,-26.15,,,user
892670430,2025-07-17T14:14:58.407000,2025-07-17T14:15:19.876000,buy,10,10.0,BTCUSDm,118471.4,118352.09,,,0,0,-1193.1,,,user
892665465,2025-07-17T14:11:53.228000,2025-07-17T14:14:51.903000,sell,10,10.0,BTCUSDm,118252.91,118444.95,,118038.1,0,0,-1920.4,,,user
892641722,2025-07-17T13:56:55.796000,2025-07-17T14:08:55.178000,buy,10,10.0,BTCUSDm,118385.78,118208.4,118208.4,118943.22,0,0,-1773.8,,,sl
890259360,2025-07-15T14:31:49.051000,2025-07-15T14:36:00.899000,sell,1,1.0,BTCUSDm,117347.85,117135.99,,,0,0,211.86,,,user
890224357,2025-07-15T14:06:52.693000,2025-07-15T14:17:39.882000,buy,1,1.0,BTCUSDm,118195.62,118065.8,,118531.88,0,0,-129.82,,,user
890191634,2025-07-15T13:51:24.121000,2025-07-15T14:06:44.216000,sell,1,1.0,BTCUSDm,118170.08,118169.47,,,0,0,0.61,,,user
890171097,2025-07-15T13:43:55.724000,2025-07-15T13:51:22.059000,buy,1,1.0,BTCUSDm,118299.84,118150.62,,,0,0,-149.22,,,user
887819621,2025-07-13T15:12:14.354000,2025-07-13T15:13:00.921000,sell,1,1.0,BTCUSDm,118898.23,118959.49,118959.49,118582.69,0,0,-61.26,,,sl
887807840,2025-07-13T14:47:52.728000,2025-07-13T15:08:48.145000,sell,1,1.0,BTCUSDm,118536.05,118862.73,,118102.7,0,0,-326.68,,,user
887791929,2025-07-13T14:17:38.903000,2025-07-13T14:31:47.891000,buy,1,1.0,BTCUSDm,118739.11,118992.27,,,0,0,253.16,,,user
886489781,2025-07-11T06:06:57.735000,2025-07-13T14:31:47.873000,buy,0.5,0.5,BTCUSDm,118292.98,118992.27,,,0,0,349.65,,,user
887783814,2025-07-13T13:47:09.034000,2025-07-13T14:01:46.474000,buy,1,1.0,BTCUSDm,118666.71,118443.1,,,0,0,-223.61,,,user
885106620,2025-07-10T16:24:10.567000,2025-07-11T05:59:56.440000,buy,10,10.0,BTCUSDm,111973.16,117826.17,111973.16,119072.87,0,0,58530.1,,,user
