scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size,fund_age,fund_manager,sortino,alpha,standard_deviation,beta,sharpe,risk_level,amc_name,rating,return_1yr,return_3yr,return_5yr,risk_adjusted_score,cost_efficiency,stability_score,experience_factor,category_Equity,category_Hybrid,category_Other,category_Solution Oriented,sub_category_Arbitrage Mutual Funds,sub_category_Banking and PSU Mutual Funds,sub_category_Childrens Funds,sub_category_Conservative Hybrid Mutual Funds,sub_category_Contra Funds,sub_category_Corporate Bond Mutual Funds,sub_category_Credit Risk Funds,sub_category_Dividend Yield Funds,sub_category_Dynamic Asset Allocation or Balanced Advantage,sub_category_Dynamic Bond,sub_category_ELSS Mutual Funds,sub_category_Equity Savings Mutual Funds,sub_category_Fixed Maturity Plans,sub_category_Flexi Cap Funds,sub_category_Floater Mutual Funds,sub_category_FoFs Domestic,sub_category_FoFs Overseas,sub_category_Focused Funds,sub_category_Gilt Mutual Funds,sub_category_Index Funds,sub_category_Large & Mid Cap Funds,sub_category_Large Cap Mutual Funds,sub_category_Liquid Mutual Funds,sub_category_Low Duration Funds,sub_category_Medium Duration Funds,sub_category_Medium to Long Duration Funds,sub_category_Mid Cap Mutual Funds,sub_category_Money Market Funds,sub_category_Multi Asset Allocation Mutual Funds,sub_category_Multi Cap Funds,sub_category_Overnight Mutual Funds,sub_category_Retirement Funds,sub_category_Sectoral / Thematic Mutual Funds,sub_category_Short Duration Funds,sub_category_Small Cap Mutual Funds,sub_category_Ultra Short Duration Funds,sub_category_Value Funds,amc_name_encoded
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,-1.2047150537089666,-1.239449377446368,-0.914933765334685,-0.5754856580228881,0.6428817921498922,Kaustubh Gupta,-1.7917721193311522,-0.05217842607606827,-0.10225834929548727,-1.9499179539612004,-1.8699816956716937,3,Aditya Birla Sun Life Mutual Fund,3,4.0,6.5,6.9,-1.8744007790548491,-0.2929650716423006,-0.48351613317264663,0.040702479268279745,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Aditya Birla SL Arbitrage Fund,1.2584885824625665,-0.8611253562442248,-0.7240773078968425,0.07760722380976526,0.6428817921498922,Lovelish Solanki,-1.009216621105629,-0.25215867083983096,-1.2878293188972212,-0.6841174225473213,-0.19563595181037,1,Aditya Birla Sun Life Mutual Fund,3,5.6,4.8,5.5,-0.8034860404442441,-0.5619787760018666,1.1401779830166154,-0.18117852228148004,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Aditya Birla SL Asset Allocator FoF-Dir Growth,1.2584885824625665,-0.8611253562442248,-0.3635706660698066,-0.5531739314654411,0.6428817921498922,Vinod Narayan Bhat,0.6256270435041265,0.06893637004846397,0.06046707790475064,-0.43095731626454553,0.4273764179984943,5,Aditya Birla Sun Life Mutual Fund,3,2.0,18.9,9.7,0.5881304380711404,-0.002753757120337869,-0.4986826038892817,0.17508111400968346,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,-0.10995788207717416,-0.8611253562442248,0.12417361404912425,-0.47988055104130684,-1.6892273297179927,Atul Penkar,-0.35063031071781275,-2.364964039884812,0.6635083669409267,-0.01669532416545801,-0.5850186829409105,6,Aditya Birla Sun Life Mutual Fund,2,-0.7,17.1,8.9,-0.4312429494833387,-0.33237649021414556,-0.5338905176018393,-1.4057366447500752,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Aditya Birla SL Balanced Advantage Fund,-1.2047150537089666,-1.239449377446368,-0.19392048168061332,0.3979603740802526,0.6428817921498922,Mohit Sharma,0.819328899500543,-0.12259400521823828,0.03311826661059309,-0.40794276114792954,0.36896900832891316,6,Aditya Birla Sun Life Mutual Fund,4,4.5,18.6,9.7,0.7141204073194473,-0.13220834868913728,-0.4963767284258935,-0.037424633953466756,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Aditya Birla SL Banking&Financial Services-DirGrowth,1.2584885824625665,-0.8611253562442248,0.99363080904374,-0.21312318520596776,0.25419693850524466,Dhaval Gala,-0.4358591273562363,-0.3338407426447481,2.0019044940544135,0.23646478211731775,-0.4487347270452215,6,Aditya Birla Sun Life Mutual Fund,2,5.3,24.6,9.2,-0.4541502166193945,-0.36930231571331806,-0.5672565509348204,-0.3105570217766921,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Aditya Birla SL Banking&PSU Debt Fund,1.2584885824625665,-0.8611253562442248,-0.7028710348481934,0.6434931985011028,0.6428817921498922,Kaustubh Gupta,-0.5520802409540861,0.5731119167064008,-1.1251038916969833,2.1236583016798285,-0.21510508836689704,3,Aditya Birla Sun Life Mutual Fund,4,4.5,6.8,7.3,-0.4713306669714364,-0.43561708767637203,0.04455156738950972,0.7344712446773877,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,1.2584885824625665,-0.8611253562442248,1.2481060856275301,-0.5748565565075809,0.6428817921498922,Vinod Narayan Bhat,-0.9394839529469192,-0.16484335270354022,1.3732100200243176,0.006319230951157992,-0.27351249803647815,6,Aditya Birla Sun Life Mutual Fund,0,-10.3,29.4,9.3,-0.7748519565241746,-0.3250923027206215,-0.5556142158012071,-0.08430090188651448,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Aditya Birla SL Corporate Bond Fund,-1.2047150537089666,-1.239449377446368,-0.8301086731400883,1.2735108810635578,0.6428817921498922,Kaustubh Gupta,-0.2731495683192464,-0.012745701756453185,-1.1223690105675674,-0.17779720998176976,0.2910924621028055,2,Aditya Birla Sun Life Mutual Fund,4,4.9,7.1,7.4,-0.11626802636257266,-0.32228785427607104,0.037682077354510915,0.08445366267245757,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Aditya Birla SL Credit Risk Fund,-1.2047150537089666,-1.239449377446368,-0.024270297291420065,-0.41956620673394623,-0.1344879151394028,Sunaina da Cunha,-0.6295609833526526,0.16470155768181508,-0.9897272757909028,-4.159315245156335,0.5247221007811295,4,Aditya Birla Sun Life Mutual Fund,4,8.7,9.0,7.2,-0.3109797970190462,-0.5692343267229379,-0.18175114566706227,0.09320389935329321,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
